"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","10,211.09","10,266.97","10,293.61","10,211.09","","-0.54%"
"12/29/2022","10,266.97","10,293.07","10,293.54","10,262.42","","-0.25%"
"12/28/2022","10,293.07","10,255.80","10,293.07","10,235.45","","0.36%"
"12/27/2022","10,255.80","10,252.53","10,274.22","10,239.35","","0.03%"
"12/26/2022","10,252.53","10,306.28","10,306.28","10,241.36","","-0.52%"
"12/23/2022","10,306.28","10,312.99","10,312.99","10,240.10","","-0.07%"
"12/22/2022","10,312.99","10,339.59","10,360.99","10,302.67","","-0.26%"
"12/21/2022","10,339.59","10,343.07","10,364.85","10,324.81","","-0.03%"
"12/20/2022","10,343.07","10,358.40","10,360.75","10,304.09","","-0.15%"
"12/19/2022","10,358.40","10,327.57","10,358.40","10,274.39","","0.30%"
"12/16/2022","10,327.57","10,168.33","10,327.57","10,153.58","","1.57%"
"12/15/2022","10,168.33","10,056.29","10,168.33","10,040.77","","1.11%"
"12/14/2022","10,056.29","10,049.74","10,093.82","10,024.86","","0.07%"
"12/13/2022","10,049.74","10,155.09","10,177.40","10,018.40","","-1.04%"
"12/12/2022","10,155.09","10,251.53","10,258.54","10,107.53","","-0.94%"
"12/09/2022","10,251.53","10,273.70","10,298.83","10,222.40","","-0.22%"
"12/08/2022","10,273.70","10,336.34","10,336.54","10,250.56","","-0.61%"
"12/07/2022","10,336.34","10,407.95","10,430.77","10,311.51","","-0.69%"
"12/06/2022","10,407.95","10,465.33","10,465.33","10,407.95","","-0.55%"
"12/05/2022","10,465.33","10,552.37","10,552.37","10,437.47","","-0.82%"
"11/30/2022","10,552.37","10,392.30","10,552.37","10,327.94","","1.54%"
"11/29/2022","10,392.30","10,406.34","10,441.39","10,347.06","","-0.13%"
"11/28/2022","10,406.34","10,528.49","10,535.39","10,406.34","","-1.16%"
"11/25/2022","10,528.49","10,534.66","10,534.66","10,492.36","","-0.06%"
"11/24/2022","10,534.66","10,528.73","10,534.66","10,494.84","","0.06%"
"11/23/2022","10,528.73","10,392.58","10,528.73","10,366.28","","1.31%"
"11/22/2022","10,392.58","10,399.28","10,400.20","10,355.23","","-0.06%"
"11/21/2022","10,399.28","10,466.15","10,466.15","10,364.65","","-0.64%"
"11/18/2022","10,466.15","10,424.93","10,466.15","10,395.08","","0.40%"
"11/17/2022","10,424.93","10,482.28","10,489.56","10,421.21","","-0.55%"
"11/16/2022","10,482.28","10,527.71","10,536.72","10,458.89","","-0.43%"
"11/15/2022","10,527.71","10,620.26","10,623.75","10,513.08","","-0.87%"
"11/14/2022","10,620.26","10,629.75","10,671.32","10,558.77","","-0.09%"
"11/11/2022","10,629.75","10,619.43","10,667.95","10,576.70","","0.10%"
"11/10/2022","10,619.43","10,618.07","10,629.01","10,583.28","","0.01%"
"11/09/2022","10,618.07","10,600.02","10,661.64","10,580.58","","0.17%"
"11/08/2022","10,600.02","10,606.70","10,649.91","10,552.98","","-0.06%"
"11/07/2022","10,606.70","10,482.34","10,606.70","10,460.77","","1.19%"
"11/04/2022","10,482.34","10,381.68","10,482.34","10,345.43","","0.97%"
"11/03/2022","10,381.68","10,433.23","10,459.84","10,355.86","","-0.49%"
"11/02/2022","10,433.23","10,416.06","10,433.23","10,366.13","","0.16%"
"11/01/2022","10,416.06","10,412.25","10,432.65","10,354.49","","0.04%"
"10/31/2022","10,412.25","10,286.89","10,412.25","10,267.99","","1.22%"
"10/28/2022","10,286.89","10,296.26","10,312.23","10,265.35","","-0.09%"
"10/27/2022","10,296.26","10,088.37","10,296.26","10,088.37","","2.06%"
"10/26/2022","10,088.37","10,060.00","10,099.62","10,045.81","","0.28%"
"10/25/2022","10,060.00","10,067.94","10,103.32","10,042.10","","-0.08%"
"10/24/2022","10,067.94","10,113.84","10,117.77","10,040.39","","-0.45%"
"10/21/2022","10,113.84","10,130.45","10,136.20","10,098.62","","-0.16%"
"10/20/2022","10,130.45","10,066.90","10,130.45","10,043.82","","0.63%"
"10/19/2022","10,066.90","10,084.40","10,100.60","10,048.93","","-0.17%"
"10/18/2022","10,084.40","9,742.31","10,084.40","9,742.31","","3.51%"
"10/17/2022","9,742.31","9,776.05","9,790.79","9,735.48","","-0.35%"
"10/14/2022","9,776.05","9,696.90","9,807.59","9,696.90","","0.82%"
"10/13/2022","9,696.90","9,733.50","9,749.10","9,696.90","","-0.38%"
"10/12/2022","9,733.50","9,754.17","9,776.10","9,716.46","","-0.21%"
"10/11/2022","9,754.17","9,830.84","9,851.69","9,754.17","","-0.78%"
"10/10/2022","9,830.84","9,905.37","9,905.37","9,830.84","","-0.75%"
"10/07/2022","9,905.37","9,891.98","9,937.40","9,891.98","","0.14%"
"10/06/2022","9,891.98","9,896.84","9,940.27","9,890.27","","-0.05%"
"10/05/2022","9,896.84","9,909.08","9,971.35","9,896.84","","-0.12%"
"10/04/2022","9,909.08","9,763.67","9,923.34","9,763.67","","1.49%"
"10/03/2022","9,763.67","9,750.82","9,763.67","9,695.86","","0.13%"
"09/30/2022","9,750.82","9,816.22","9,829.55","9,750.82","","-0.67%"
"09/29/2022","9,816.22","9,776.45","9,836.27","9,758.39","","0.41%"
"09/28/2022","9,776.45","9,733.43","9,832.29","9,724.81","","0.44%"
"09/27/2022","9,733.43","9,801.15","9,859.58","9,733.43","","-0.69%"
"09/26/2022","9,801.15","10,025.68","10,025.68","9,801.15","","-2.24%"
"09/23/2022","10,025.68","10,093.63","10,124.50","10,025.68","","-0.67%"
"09/22/2022","10,093.63","10,093.97","10,120.46","10,071.07","","0.00%"
"09/21/2022","10,093.97","10,135.47","10,174.26","10,093.97","","-0.41%"
"09/20/2022","10,135.47","10,095.65","10,174.62","10,085.65","","0.39%"
"09/19/2022","10,095.65","10,201.58","10,277.90","10,094.24","","-1.04%"
"09/16/2022","10,201.58","10,019.20","10,201.58","9,993.96","","1.82%"
"09/15/2022","10,019.20","9,968.75","10,065.08","9,968.75","","0.51%"
"09/14/2022","9,968.75","9,986.06","10,003.72","9,884.66","","-0.17%"
"09/13/2022","9,986.06","9,930.24","9,999.81","9,922.63","","0.56%"
"09/12/2022","9,930.24","9,795.86","9,945.42","9,795.11","","1.37%"
"09/09/2022","9,795.86","9,785.83","9,823.74","9,785.83","","0.10%"
"09/08/2022","9,785.83","9,717.38","9,864.04","9,717.38","","0.70%"
"09/07/2022","9,717.38","9,662.65","9,743.38","9,624.01","","0.57%"
"09/06/2022","9,662.65","9,686.81","9,746.91","9,662.65","","-0.25%"
"09/05/2022","9,686.81","9,754.51","9,755.94","9,681.18","","-0.69%"
"09/02/2022","9,754.51","9,719.57","9,778.85","9,719.02","","0.36%"
"09/01/2022","9,719.57","9,874.51","9,927.73","9,719.57","","-1.57%"
"08/31/2022","9,874.51","9,962.93","9,984.83","9,874.51","","-0.89%"
"08/30/2022","9,962.93","9,964.01","10,006.65","9,962.93","","-0.01%"
"08/29/2022","9,964.01","10,078.87","10,078.87","9,964.01","","-1.14%"
"08/26/2022","10,078.87","10,021.74","10,078.87","10,012.33","","0.57%"
"08/25/2022","10,021.74","10,002.05","10,031.82","9,996.36","","0.20%"
"08/24/2022","10,002.05","10,019.05","10,041.99","9,998.97","","-0.17%"
"08/23/2022","10,019.05","10,040.58","10,061.28","10,002.58","","-0.21%"
"08/22/2022","10,040.58","10,083.09","10,091.93","10,033.99","","-0.42%"
"08/19/2022","10,083.09","10,097.29","10,124.17","10,083.09","","-0.14%"
"08/18/2022","10,097.29","10,251.65","10,261.13","10,097.29","","-1.51%"
"08/17/2022","10,251.65","10,183.10","10,255.84","10,169.77","","0.67%"
"08/16/2022","10,183.10","10,199.81","10,209.51","10,169.32","","-0.16%"
"08/15/2022","10,199.81","10,245.78","10,251.45","10,164.39","","-0.45%"
"08/12/2022","10,245.78","10,298.57","10,308.71","10,201.97","","-0.51%"
