"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","73,048.57","73,219.49","73,597.14","72,888.21","69.29M","-0.75%"
"12/29/2022","73,597.14","73,948.95","74,277.56","72,841.34","94.75M","-0.92%"
"12/28/2022","74,277.56","73,830.99","74,548.89","73,493.47","110.30M","1.07%"
"12/23/2022","73,493.47","73,032.16","73,577.06","72,877.34","53.31M","0.37%"
"12/22/2022","73,225.13","73,999.50","74,100.10","73,048.89","101.86M","-0.83%"
"12/21/2022","73,836.91","73,057.69","73,836.91","72,938.77","134.73M","1.09%"
"12/20/2022","73,040.51","72,774.72","73,359.60","71,826.47","157.20M","-0.43%"
"12/19/2022","73,359.60","73,152.71","73,588.61","72,572.00","223.93M","0.51%"
"12/15/2022","72,989.34","73,933.20","74,294.67","72,785.85","746.41M","-1.76%"
"12/14/2022","74,294.67","75,187.90","75,835.45","74,049.25","212.68M","-2.03%"
"12/13/2022","75,835.45","74,315.56","76,172.91","74,315.56","210.42M","1.90%"
"12/12/2022","74,422.18","73,885.88","74,773.30","73,554.24","187.23M","-0.17%"
"12/09/2022","74,548.14","74,577.12","75,035.66","74,448.85","194.70M","0.11%"
"12/08/2022","74,467.26","74,179.66","74,628.13","73,947.23","188.33M","0.62%"
"12/07/2022","74,011.12","74,202.80","74,557.31","73,619.91","208.86M","-0.73%"
"12/06/2022","74,557.31","74,403.84","74,961.03","74,215.44","185.49M","-0.18%"
"12/05/2022","74,693.42","75,198.76","75,511.40","74,322.91","229.12M","0.50%"
"12/02/2022","74,322.91","74,890.15","75,020.01","73,356.93","287.92M","-0.93%"
"12/01/2022","75,020.01","75,540.50","76,338.15","74,828.00","389.68M","0.26%"
"11/30/2022","74,828.00","73,070.81","75,093.64","73,070.81","430.61M","2.32%"
"11/29/2022","73,127.92","73,593.25","74,207.78","72,811.67","220.25M","-0.33%"
"11/28/2022","73,368.25","72,719.83","73,524.47","72,539.97","166.85M","0.30%"
"11/25/2022","73,151.38","72,852.04","73,446.34","72,484.33","169.50M","0.03%"
"11/24/2022","73,127.34","72,741.32","73,426.48","72,741.32","171.72M","0.32%"
"11/23/2022","72,891.45","72,329.76","73,028.79","72,242.33","226.23M","0.90%"
"11/22/2022","72,242.33","71,359.51","72,436.98","71,359.51","223.28M","0.42%"
"11/21/2022","71,938.01","72,125.42","72,576.86","71,686.03","243.96M","-0.88%"
"11/18/2022","72,576.86","72,283.73","72,929.33","72,155.29","163.46M","0.58%"
"11/17/2022","72,155.29","72,476.30","72,774.47","71,834.64","242.79M","-0.62%"
"11/16/2022","72,607.46","72,979.91","73,487.96","72,607.46","253.37M","-0.54%"
"11/15/2022","72,998.69","72,870.21","73,489.01","72,702.98","283.62M","0.24%"
"11/14/2022","72,822.47","72,944.40","73,258.08","72,766.66","235.90M","-0.22%"
"11/11/2022","72,982.80","72,114.50","73,435.53","70,710.27","287.32M","3.21%"
"11/10/2022","70,710.27","69,371.38","70,720.06","68,654.35","261.06M","1.54%"
"11/09/2022","69,640.23","69,030.01","69,700.98","68,957.53","226.44M","0.91%"
"11/08/2022","69,011.45","69,387.56","69,439.32","68,690.90","212.93M","-0.62%"
"11/07/2022","69,439.32","68,788.55","69,658.97","68,562.83","214.40M","0.19%"
"11/04/2022","69,305.19","66,572.88","69,437.13","66,046.65","245.63M","4.93%"
"11/03/2022","66,046.65","66,737.35","67,123.10","65,609.55","208.73M","-1.60%"
"11/02/2022","67,123.10","67,795.09","67,913.60","66,990.64","247.93M","-0.43%"
"11/01/2022","67,414.27","66,838.51","68,210.96","66,671.65","282.29M","1.11%"
"10/31/2022","66,671.65","66,566.61","66,843.11","66,385.58","203.41M","0.43%"
"10/28/2022","66,385.58","66,370.00","67,123.41","65,799.52","217.05M","-1.10%"
"10/27/2022","67,123.41","66,646.33","67,371.78","66,641.58","254.81M","0.03%"
"10/26/2022","67,103.09","65,915.89","67,103.09","65,850.84","273.43M","1.90%"
"10/25/2022","65,850.84","65,088.77","66,023.69","64,975.95","254.18M","1.35%"
"10/24/2022","64,975.95","65,607.12","65,823.85","64,662.96","221.85M","-0.86%"
"10/21/2022","65,539.24","65,021.41","66,015.75","64,705.82","218.35M","-0.39%"
"10/20/2022","65,794.28","65,301.24","65,869.44","64,854.32","494.95M","0.22%"
"10/19/2022","65,652.50","65,987.24","66,350.98","65,175.88","267.25M","-1.05%"
"10/18/2022","66,350.98","66,526.68","66,902.27","66,187.81","252.75M","0.24%"
"10/17/2022","66,190.75","64,309.42","66,262.75","64,149.01","251.84M","2.99%"
"10/14/2022","64,271.36","65,593.70","65,774.42","64,082.40","250.56M","-0.19%"
"10/13/2022","64,392.43","64,506.12","64,808.04","63,662.88","241.45M","-0.21%"
"10/12/2022","64,528.23","64,765.42","65,023.38","64,319.94","228.40M","-0.09%"
"10/11/2022","64,588.09","64,476.83","65,146.50","64,121.29","219.71M","-0.28%"
"10/10/2022","64,769.20","65,259.55","65,675.48","64,552.02","196.62M","-1.38%"
"10/07/2022","65,675.48","65,374.75","65,924.46","65,217.00","185.39M","-0.24%"
"10/06/2022","65,832.67","66,070.33","66,562.10","65,612.76","279.58M","0.34%"
"10/05/2022","65,612.76","66,176.02","66,456.39","65,387.75","201.99M","-1.06%"
"10/04/2022","66,312.83","65,058.10","66,312.83","64,227.23","308.41M","3.25%"
"10/03/2022","64,227.23","63,369.21","64,312.56","63,280.34","171.35M","0.79%"
"09/30/2022","63,726.37","63,636.67","63,970.81","63,261.06","288.56M","0.73%"
"09/29/2022","63,263.94","63,775.63","63,945.43","62,598.87","288.82M","-0.85%"
"09/28/2022","63,808.32","63,195.90","64,025.95","62,193.93","331.14M","-0.34%"
"09/27/2022","64,025.95","63,827.75","64,218.36","63,371.27","301.49M","0.63%"
"09/26/2022","63,625.66","63,003.22","63,786.98","62,646.37","251.48M","0.33%"
"09/23/2022","63,416.66","65,173.28","65,276.97","63,267.05","269.23M","-2.85%"
"09/22/2022","65,276.97","65,440.81","66,208.71","65,190.99","282.01M","-1.41%"
"09/21/2022","66,208.71","66,229.57","66,602.84","65,893.16","232.20M","-0.59%"
"09/20/2022","66,602.84","67,089.87","67,439.11","66,425.94","223.38M","0.19%"
"09/19/2022","66,474.86","66,280.54","66,534.69","65,540.16","","-0.16%"
"09/16/2022","66,584.34","67,035.82","67,568.26","66,334.32","573.71M","-1.46%"
"09/15/2022","67,568.26","67,833.71","68,478.31","67,555.83","418.92M","-0.58%"
"09/14/2022","67,964.02","67,774.62","68,273.71","67,435.54","206.86M","-0.45%"
"09/13/2022","68,273.71","69,700.27","69,866.50","68,128.64","281.80M","-2.15%"
"09/12/2022","69,772.41","69,121.06","70,064.69","68,708.48","262.65M","1.55%"
"09/09/2022","68,708.48","67,870.80","69,221.42","67,260.23","285.90M","2.15%"
"09/08/2022","67,260.23","66,790.29","67,524.74","66,596.87","251.83M","0.82%"
"09/07/2022","66,715.83","67,006.22","67,538.77","66,313.29","300.51M","-1.22%"
"09/06/2022","67,538.77","67,509.66","67,954.07","67,143.53","270.99M","0.21%"
"09/05/2022","67,399.39","67,095.80","67,723.33","66,846.07","220.33M","0.03%"
"09/02/2022","67,378.31","66,352.96","67,409.31","66,021.71","229.59M","2.05%"
"09/01/2022","66,021.71","66,790.99","67,257.14","65,830.50","403.41M","-1.84%"
"08/31/2022","67,257.14","68,188.82","68,636.46","67,257.14","329.43M","-0.95%"
"08/30/2022","67,900.48","69,221.62","69,548.62","67,689.43","269.06M","-1.89%"
"08/29/2022","69,207.02","69,184.18","70,173.09","68,627.96","157.38M","-1.38%"
"08/26/2022","70,173.09","70,359.75","71,054.87","70,062.67","188.50M","-0.24%"
"08/25/2022","70,340.70","70,275.61","70,592.80","69,808.71","208.75M","0.76%"
"08/24/2022","69,808.71","69,872.95","70,106.31","69,520.49","189.35M","0.05%"
"08/23/2022","69,772.27","69,320.41","70,032.64","69,123.15","192.03M","0.83%"
"08/22/2022","69,195.60","69,588.87","69,719.43","68,705.84","203.55M","-0.75%"
"08/19/2022","69,719.43","71,028.52","71,081.59","69,594.84","236.44M","-1.82%"
"08/18/2022","71,011.38","71,085.53","71,238.62","70,817.62","199.60M","0.06%"
"08/17/2022","70,967.35","71,329.32","71,504.69","70,742.35","217.84M","-0.75%"
"08/16/2022","71,504.69","71,011.39","71,563.01","70,740.63","234.10M","1.08%"
"08/15/2022","70,740.63","70,831.75","71,159.24","70,629.78","231.13M","0.01%"
"08/12/2022","70,731.32","70,869.56","71,305.04","70,731.32","199.42M","-0.75%"
"08/11/2022","71,264.77","69,899.25","71,399.61","69,744.90","269.37M","2.18%"
"08/10/2022","69,744.90","69,311.97","70,266.13","69,279.19","230.13M","-0.74%"
"08/08/2022","70,266.13","69,504.56","70,480.40","69,308.14","140.66M","1.07%"
"08/05/2022","69,519.27","69,025.90","69,645.77","68,717.02","193.18M","1.17%"
"08/04/2022","68,717.02","68,889.96","69,461.10","68,610.57","250.67M","0.16%"
"08/03/2022","68,610.57","68,060.97","69,107.99","68,002.23","208.87M","0.89%"
"08/02/2022","68,002.23","68,503.76","68,642.59","67,501.73","270.63M","-0.93%"
"08/01/2022","68,642.59","69,023.14","69,424.80","68,263.35","246.00M","-0.42%"
"07/29/2022","68,934.01","68,824.63","69,176.44","68,478.14","318.38M","0.47%"
"07/28/2022","68,610.75","68,897.22","69,464.73","68,424.97","260.57M","0.27%"
"07/27/2022","68,424.97","68,262.77","68,693.25","68,217.77","243.52M","0.00%"
"07/26/2022","68,421.80","68,312.27","68,458.25","67,749.79","240.37M","0.99%"
"07/25/2022","67,749.79","67,714.57","68,252.62","67,322.37","240.03M","-0.47%"
"07/22/2022","68,069.58","67,986.87","68,437.85","67,907.24","243.91M","0.24%"
"07/21/2022","67,907.24","67,472.22","68,099.38","67,053.65","209.03M","0.38%"
"07/20/2022","67,652.46","68,201.94","68,528.66","67,093.01","209.16M","-0.20%"
"07/19/2022","67,785.04","66,470.84","67,797.48","66,418.33","233.23M","1.15%"
"07/18/2022","67,016.14","66,136.38","67,177.28","65,088.90","257.88M","2.96%"
"07/15/2022","65,088.90","64,404.13","65,306.60","64,118.05","232.79M","0.58%"
"07/14/2022","64,712.88","66,074.85","66,381.17","64,348.29","229.37M","-2.16%"
"07/13/2022","66,142.69","67,100.40","67,163.71","65,345.53","259.50M","-1.52%"
"07/12/2022","67,163.71","66,863.02","67,226.75","66,619.87","187.78M","-0.09%"
"07/11/2022","67,226.75","67,006.28","68,327.40","66,615.54","170.78M","-1.61%"
"07/08/2022","68,327.40","67,651.44","68,491.37","67,089.26","260.96M","0.62%"
