"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","23,706.96","23,924.00","23,956.21","23,702.20","252.89M","-1.45%"
"12/29/2022","24,056.55","23,688.99","24,064.64","23,645.00","287.29M","1.20%"
"12/28/2022","23,770.44","23,849.55","23,913.47","23,721.01","283.94M","-0.36%"
"12/27/2022","23,855.86","24,033.41","24,081.45","23,807.83","216.14M","-0.09%"
"12/23/2022","23,877.55","23,830.13","23,938.36","23,772.87","253.04M","0.27%"
"12/22/2022","23,813.30","24,126.21","24,191.81","23,786.29","280.81M","-1.24%"
"12/21/2022","24,111.97","23,820.00","24,111.97","23,757.35","332.79M","1.66%"
"12/20/2022","23,718.25","23,411.09","23,758.60","23,353.17","371.10M","0.15%"
"12/19/2022","23,683.54","23,764.54","23,911.84","23,660.58","335.97M","-0.02%"
"12/16/2022","23,688.16","23,738.67","23,814.76","23,505.34","668.73M","-0.16%"
"12/15/2022","23,726.05","24,423.79","24,480.57","23,726.05","568.09M","-3.45%"
"12/14/2022","24,573.93","24,588.27","24,666.68","24,514.09","314.55M","-0.26%"
"12/13/2022","24,636.94","24,396.00","24,899.20","24,292.39","464.19M","1.37%"
"12/12/2022","24,303.68","24,173.20","24,352.55","24,132.58","345.23M","0.11%"
"12/09/2022","24,277.49","24,333.38","24,333.38","23,940.98","396.14M","0.29%"
"12/08/2022","24,207.42","24,277.60","24,299.84","24,103.31","243.50M","-0.14%"
"12/07/2022","24,241.35","24,255.86","24,428.77","24,155.42","317.70M","-0.10%"
"12/06/2022","24,265.45","24,511.16","24,582.29","24,265.45","463.52M","-1.15%"
"12/05/2022","24,547.84","24,606.70","24,674.02","24,495.36","271.91M","-0.30%"
"12/02/2022","24,621.72","24,625.37","24,701.67","24,414.63","354.86M","-0.26%"
"12/01/2022","24,685.67","24,805.53","24,857.02","24,598.67","619.55M","0.31%"
"11/30/2022","24,610.29","24,585.40","24,685.00","24,474.55","681.50M","0.59%"
"11/29/2022","24,465.95","24,532.99","24,562.38","24,252.57","359.52M","0.10%"
"11/28/2022","24,440.88","24,556.57","24,600.04","24,407.48","377.82M","-1.12%"
"11/25/2022","24,718.81","24,744.49","24,803.45","24,655.94","255.54M","-0.05%"
"11/24/2022","24,730.89","24,634.30","24,761.27","24,593.41","311.23M","0.61%"
"11/23/2022","24,581.14","24,612.91","24,612.91","24,398.94","427.04M","-0.04%"
"11/22/2022","24,590.50","24,456.20","24,656.77","24,351.30","356.51M","0.96%"
"11/21/2022","24,356.05","24,509.40","24,567.07","24,315.47","442.47M","-1.29%"
"11/18/2022","24,675.18","24,501.35","24,700.21","24,421.76","568.16M","1.38%"
"11/17/2022","24,339.67","24,626.00","24,679.80","24,184.06","465.80M","-0.78%"
"11/16/2022","24,531.27","24,724.89","24,759.24","24,514.40","483.66M","-0.68%"
"11/15/2022","24,699.75","24,672.73","24,764.28","24,498.49","499.69M","0.42%"
"11/14/2022","24,596.69","24,582.83","24,725.05","24,512.41","394.24M","0.58%"
"11/11/2022","24,455.57","24,539.20","24,676.07","24,401.69","634.19M","0.25%"
