"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,495.49","1,491.93","1,503.33","1,479.13","242.92M","0.26%"
"12/29/2022","1,491.63","1,476.27","1,491.63","1,472.54","107.61M","0.78%"
"12/28/2022","1,480.11","1,473.55","1,480.11","1,461.18","134.74M","0.37%"
"12/27/2022","1,474.69","1,474.39","1,477.43","1,468.15","114.39M","0.00%"
"12/23/2022","1,474.68","1,469.16","1,474.87","1,460.57","48.29M","0.43%"
"12/22/2022","1,468.35","1,463.79","1,468.35","1,462.41","67.39M","0.40%"
"12/21/2022","1,462.55","1,467.01","1,469.42","1,458.82","92.17M","-0.33%"
"12/20/2022","1,467.32","1,473.73","1,476.23","1,464.86","93.57M","-0.66%"
"12/19/2022","1,477.09","1,476.72","1,477.41","1,471.57","103.22M","-0.10%"
"12/16/2022","1,478.54","1,461.76","1,478.54","1,459.31","251.76M","0.78%"
"12/15/2022","1,467.13","1,481.78","1,482.11","1,466.25","190.15M","-1.08%"
"12/14/2022","1,483.17","1,471.89","1,483.17","1,471.64","203.19M","0.89%"
"12/13/2022","1,470.12","1,476.53","1,477.29","1,469.47","139.79M","-0.29%"
"12/12/2022","1,474.38","1,475.61","1,475.61","1,468.85","129.73M","-0.19%"
"12/09/2022","1,477.19","1,467.90","1,477.42","1,466.76","166.54M","0.77%"
"12/08/2022","1,465.93","1,467.37","1,469.12","1,461.78","166.06M","-0.06%"
"12/07/2022","1,466.88","1,471.46","1,477.86","1,466.46","218.84M","-0.32%"
"12/06/2022","1,471.55","1,468.99","1,473.52","1,467.13","225.29M","0.00%"
"12/05/2022","1,471.56","1,482.08","1,482.08","1,470.33","163.27M","-0.69%"
"12/02/2022","1,481.80","1,489.36","1,489.36","1,479.70","206.83M","-0.65%"
"12/01/2022","1,491.51","1,490.80","1,497.24","1,487.34","266.13M","0.18%"
"11/30/2022","1,488.80","1,476.22","1,489.78","1,464.81","597.87M","0.80%"
"11/29/2022","1,476.96","1,483.77","1,486.68","1,467.26","297.99M","-0.64%"
"11/25/2022","1,486.54","1,501.70","1,504.16","1,481.38","337.65M","-1.02%"
"11/24/2022","1,501.88","1,450.68","1,502.11","1,450.68","457.07M","4.04%"
"11/23/2022","1,443.50","1,431.90","1,443.50","1,431.61","172.54M","0.15%"
"11/22/2022","1,441.29","1,446.72","1,451.31","1,435.02","242.61M","-0.46%"
"11/21/2022","1,447.96","1,434.55","1,447.96","1,427.75","332.04M","-0.09%"
"11/17/2022","1,449.32","1,446.56","1,449.32","1,441.57","234.93M","0.06%"
"11/16/2022","1,448.38","1,447.50","1,448.38","1,440.59","220.51M","-0.15%"
"11/15/2022","1,450.54","1,461.51","1,461.51","1,447.87","256.71M","-0.92%"
"11/14/2022","1,464.00","1,468.99","1,468.99","1,459.05","248.45M","-0.29%"
"11/11/2022","1,468.21","1,467.19","1,468.21","1,459.54","370.67M","1.27%"
"11/10/2022","1,449.74","1,442.31","1,453.27","1,440.76","191.91M","0.25%"
"11/09/2022","1,446.19","1,443.62","1,447.15","1,439.69","251.22M","0.34%"
"11/08/2022","1,441.35","1,447.12","1,447.85","1,433.29","224.56M","-0.05%"
"11/07/2022","1,442.12","1,441.18","1,442.66","1,435.39","174.97M","0.27%"
"11/04/2022","1,438.28","1,425.52","1,438.28","1,422.08","215.62M","1.26%"
"11/03/2022","1,420.38","1,448.32","1,448.32","1,420.38","312.94M","-2.15%"
"11/02/2022","1,451.61","1,450.98","1,451.92","1,442.89","176.88M","0.39%"
"11/01/2022","1,445.92","1,457.64","1,457.64","1,443.54","191.41M","-0.99%"
"10/31/2022","1,460.38","1,450.94","1,468.41","1,450.94","349.21M","0.90%"
"10/28/2022","1,447.31","1,454.54","1,456.47","1,442.04","232.51M","-0.47%"
"10/27/2022","1,454.09","1,457.96","1,459.86","1,452.28","247.41M","-0.06%"
"10/26/2022","1,454.98","1,447.57","1,454.98","1,447.41","252.57M","0.73%"
"10/25/2022","1,444.41","1,449.14","1,454.06","1,441.19","205.56M","-0.14%"
"10/21/2022","1,446.42","1,435.39","1,446.42","1,433.26","167.32M","0.61%"
"10/20/2022","1,437.72","1,414.72","1,437.72","1,411.74","336.73M","1.60%"
"10/19/2022","1,415.10","1,402.68","1,415.10","1,400.28","216.94M","1.05%"
"10/18/2022","1,400.36","1,392.92","1,400.39","1,389.16","234.39M","1.02%"
"10/17/2022","1,386.27","1,383.50","1,389.21","1,376.68","225.97M","0.27%"
"10/14/2022","1,382.47","1,381.63","1,391.38","1,381.34","271.51M","0.66%"
"10/13/2022","1,373.36","1,384.86","1,385.07","1,372.57","305.86M","-0.52%"
"10/12/2022","1,380.57","1,388.28","1,391.47","1,376.54","208.60M","-0.45%"
"10/11/2022","1,386.82","1,400.58","1,400.58","1,383.25","225.39M","-1.36%"
"10/07/2022","1,406.00","1,421.79","1,421.90","1,405.18","78.28M","-1.02%"
"10/06/2022","1,420.43","1,424.75","1,428.13","1,420.43","61.33M","-0.01%"
"10/05/2022","1,420.55","1,413.67","1,424.65","1,413.67","202.93M","0.79%"
"10/04/2022","1,409.36","1,403.76","1,411.55","1,402.90","171.97M","0.84%"
"10/03/2022","1,397.62","1,393.70","1,401.82","1,384.82","205.50M","0.21%"
"09/30/2022","1,394.63","1,395.29","1,402.23","1,390.41","283.73M","-0.21%"
"09/29/2022","1,397.50","1,407.39","1,410.76","1,395.81","319.31M","-0.31%"
"09/28/2022","1,401.89","1,407.32","1,409.13","1,400.41","317.19M","-0.64%"
"09/27/2022","1,410.87","1,412.86","1,420.27","1,410.87","307.26M","-0.15%"
"09/26/2022","1,413.04","1,423.83","1,423.83","1,411.48","269.20M","-0.84%"
"09/23/2022","1,424.98","1,439.11","1,440.29","1,424.98","232.72M","-0.99%"
"09/22/2022","1,439.16","1,444.87","1,448.51","1,435.76","232.74M","-0.55%"
"09/21/2022","1,447.18","1,459.45","1,459.89","1,447.18","381.23M","-0.95%"
"09/20/2022","1,461.10","1,454.42","1,465.58","1,454.42","260.24M","0.66%"
"09/19/2022","1,451.52","1,459.51","1,460.91","1,446.04","304.70M","-1.08%"
"09/15/2022","1,467.31","1,473.36","1,478.54","1,466.33","311.21M","-0.08%"
"09/14/2022","1,468.44","1,475.24","1,480.55","1,468.44","174.11M","-1.30%"
"09/13/2022","1,487.84","1,497.40","1,497.88","1,482.38","168.16M","-0.68%"
"09/12/2022","1,497.96","1,497.66","1,501.87","1,496.05","139.78M","0.10%"
"09/09/2022","1,496.53","1,495.75","1,498.32","1,493.15","121.61M","0.12%"
"09/08/2022","1,494.73","1,490.87","1,497.66","1,486.98","163.49M","0.23%"
"09/07/2022","1,491.35","1,485.92","1,492.19","1,483.29","162.62M","0.21%"
"09/06/2022","1,488.27","1,492.58","1,497.00","1,488.27","163.01M","-0.10%"
"09/05/2022","1,489.80","1,492.03","1,494.81","1,486.79","119.86M","-0.09%"
"09/02/2022","1,491.18","1,493.12","1,498.61","1,489.23","158.42M","-0.05%"
"09/01/2022","1,491.95","1,498.01","1,503.49","1,490.71","221.52M","-1.33%"
"08/30/2022","1,512.05","1,500.78","1,512.05","1,496.80","380.09M","0.70%"
"08/29/2022","1,501.57","1,486.52","1,506.55","1,481.79","171.24M","0.09%"
"08/26/2022","1,500.29","1,496.38","1,507.49","1,495.68","175.72M","0.32%"
"08/25/2022","1,495.49","1,470.37","1,495.49","1,470.37","202.21M","1.92%"
"08/24/2022","1,467.26","1,484.10","1,487.97","1,464.83","152.86M","-1.03%"
"08/23/2022","1,482.57","1,484.92","1,484.92","1,477.54","172.62M","-0.32%"
"08/22/2022","1,487.37","1,501.61","1,502.07","1,486.37","169.38M","-1.13%"
"08/19/2022","1,504.44","1,516.82","1,519.68","1,502.91","168.46M","-0.80%"
"08/18/2022","1,516.62","1,516.78","1,522.52","1,514.67","235.37M","-0.10%"
"08/17/2022","1,518.16","1,519.55","1,527.84","1,516.57","341.13M","-0.04%"
"08/16/2022","1,518.78","1,504.09","1,518.78","1,503.86","470.90M","0.98%"
"08/15/2022","1,504.01","1,506.42","1,510.11","1,503.02","316.95M","-0.14%"
"08/12/2022","1,506.19","1,505.07","1,511.80","1,504.21","267.61M","0.04%"
"08/11/2022","1,505.56","1,497.81","1,505.56","1,497.81","216.13M","0.89%"
"08/10/2022","1,492.33","1,495.72","1,496.25","1,490.22","266.33M","-0.36%"
"08/09/2022","1,497.68","1,498.52","1,501.03","1,495.00","102.72M","0.11%"
"08/08/2022","1,496.03","1,501.58","1,501.58","1,490.41","122.17M","-0.37%"
"08/05/2022","1,501.55","1,505.07","1,505.53","1,497.77","174.90M","-0.41%"
"08/04/2022","1,507.71","1,491.66","1,507.71","1,491.66","190.42M","1.15%"
"08/03/2022","1,490.57","1,488.58","1,490.57","1,483.01","149.07M","-0.30%"
"08/02/2022","1,495.05","1,501.33","1,503.00","1,490.72","159.32M","-0.47%"
"08/01/2022","1,502.07","1,492.67","1,503.83","1,490.69","118.04M","0.66%"
"07/29/2022","1,492.23","1,491.17","1,497.53","1,488.07","196.95M","0.07%"
"07/28/2022","1,491.20","1,472.39","1,491.20","1,472.39","193.90M","1.39%"
"07/27/2022","1,470.71","1,464.13","1,470.96","1,460.97","131.41M","0.48%"
"07/26/2022","1,463.69","1,466.49","1,466.49","1,459.12","129.77M","-0.38%"
"07/25/2022","1,469.22","1,463.78","1,469.22","1,461.28","151.29M","0.23%"
"07/22/2022","1,465.80","1,451.09","1,468.48","1,450.73","172.15M","1.07%"
"07/21/2022","1,450.32","1,441.16","1,451.33","1,440.05","147.98M","0.93%"
"07/20/2022","1,436.98","1,430.02","1,438.37","1,430.02","150.34M","0.58%"
"07/19/2022","1,428.76","1,428.69","1,430.86","1,417.16","120.98M","-0.05%"
"07/18/2022","1,429.54","1,420.89","1,429.54","1,416.71","164.06M","0.78%"
"07/15/2022","1,418.44","1,420.06","1,420.06","1,415.46","115.31M","-0.11%"
"07/14/2022","1,420.06","1,408.83","1,420.06","1,408.83","137.94M","0.62%"
"07/13/2022","1,411.32","1,421.43","1,421.43","1,410.33","159.99M","-1.04%"
