"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","3,251.32","3,259.23","3,261.88","3,247.85","106.33M","0.06%"
"12/29/2022","3,249.24","3,255.10","3,257.00","3,234.93","138.02M","-0.54%"
"12/28/2022","3,266.97","3,257.75","3,270.33","3,256.24","121.54M","0.02%"
"12/27/2022","3,266.38","3,277.58","3,277.94","3,264.03","108.51M","0.27%"
"12/23/2022","3,257.70","3,257.19","3,261.99","3,250.16","99.03M","-0.36%"
"12/22/2022","3,269.53","3,262.40","3,278.88","3,256.19","150.65M","0.41%"
"12/21/2022","3,256.19","3,250.86","3,262.53","3,246.34","143.88M","0.07%"
"12/20/2022","3,253.97","3,246.30","3,262.37","3,237.72","198.29M","-0.08%"
"12/19/2022","3,256.61","3,239.50","3,273.35","3,239.50","172.55M","0.49%"
"12/16/2022","3,240.81","3,253.67","3,272.12","3,237.79","387.11M","-1.01%"
"12/15/2022","3,273.75","3,280.95","3,287.53","3,256.79","252.16M","-0.15%"
"12/14/2022","3,278.57","3,280.44","3,293.47","3,274.96","271.34M","0.22%"
"12/13/2022","3,271.28","3,245.46","3,278.13","3,245.09","226.64M","0.98%"
"12/12/2022","3,239.66","3,235.88","3,255.61","3,234.56","213.05M","-0.19%"
"12/09/2022","3,245.97","3,242.67","3,248.03","3,235.82","207.22M","0.31%"
"12/08/2022","3,236.08","3,225.95","3,246.18","3,225.95","181.75M","0.33%"
"12/07/2022","3,225.45","3,239.22","3,252.25","3,225.45","212.07M","-0.83%"
"12/06/2022","3,252.37","3,263.48","3,265.28","3,244.73","246.05M","-0.46%"
"12/05/2022","3,267.54","3,266.52","3,283.17","3,256.45","209.57M","0.26%"
"12/02/2022","3,259.14","3,287.23","3,287.23","3,259.14","201.01M","-1.02%"
"12/01/2022","3,292.73","3,306.49","3,313.80","3,288.46","278.20M","0.07%"
"11/30/2022","3,290.49","3,279.86","3,290.56","3,270.03","460.60M","0.43%"
"11/29/2022","3,276.36","3,235.34","3,277.01","3,232.38","261.70M","1.12%"
"11/28/2022","3,240.06","3,241.69","3,248.69","3,221.89","234.27M","-0.14%"
"11/25/2022","3,244.55","3,249.53","3,254.41","3,233.19","155.04M","-0.26%"
"11/24/2022","3,252.88","3,268.68","3,273.43","3,250.15","200.31M","-0.10%"
"11/23/2022","3,255.99","3,278.75","3,285.48","3,249.52","212.02M","-0.11%"
"11/22/2022","3,259.56","3,261.31","3,277.35","3,259.56","201.20M","0.28%"
"11/21/2022","3,250.62","3,264.65","3,281.60","3,237.35","256.42M","-0.66%"
"11/18/2022","3,272.23","3,289.33","3,308.30","3,265.53","259.43M","-0.42%"
"11/17/2022","3,286.04","3,274.67","3,298.10","3,263.68","276.06M","0.61%"
"11/16/2022","3,266.17","3,274.85","3,282.91","3,258.49","340.36M","-0.28%"
"11/15/2022","3,275.28","3,271.35","3,285.72","3,261.96","307.20M","0.44%"
"11/14/2022","3,260.80","3,234.51","3,279.10","3,226.83","424.87M","1.01%"
"11/11/2022","3,228.33","3,213.35","3,238.07","3,211.20","470.93M","1.74%"
"11/10/2022","3,173.18","3,153.30","3,180.57","3,152.49","224.03M","0.24%"
"11/09/2022","3,165.50","3,146.11","3,169.45","3,143.81","231.17M","0.63%"
"11/08/2022","3,145.83","3,153.57","3,155.29","3,142.28","222.26M","0.14%"
"11/07/2022","3,141.31","3,136.90","3,145.44","3,126.67","246.67M","0.36%"
"11/04/2022","3,130.11","3,100.56","3,134.30","3,098.72","267.66M","0.89%"
"11/03/2022","3,102.51","3,125.16","3,126.09","3,091.18","226.05M","-1.23%"
"11/02/2022","3,141.13","3,134.75","3,141.13","3,113.79","244.91M","0.34%"
"11/01/2022","3,130.50","3,107.00","3,140.32","3,102.63","245.20M","1.21%"
"10/31/2022","3,093.11","3,084.68","3,129.35","3,083.59","368.28M","1.11%"
"10/28/2022","3,059.19","3,033.34","3,071.38","3,025.93","281.08M","1.46%"
"10/27/2022","3,015.24","3,009.39","3,028.89","2,995.28","247.79M","0.23%"
"10/26/2022","3,008.38","2,992.24","3,020.52","2,987.60","278.36M","0.81%"
"10/25/2022","2,984.15","2,988.12","3,007.93","2,968.87","320.16M","0.48%"
"10/21/2022","2,969.95","3,014.70","3,019.20","2,968.92","273.25M","-1.75%"
"10/20/2022","3,022.70","3,005.85","3,029.07","3,005.85","369.29M","0.00%"
"10/19/2022","3,022.80","3,031.79","3,043.26","3,020.11","223.41M","-0.10%"
"10/18/2022","3,025.88","3,027.56","3,039.06","3,007.94","222.84M","0.34%"
"10/17/2022","3,015.75","3,025.51","3,032.80","2,991.05","328.22M","-0.78%"
"10/14/2022","3,039.61","3,067.49","3,078.17","3,039.61","275.86M","-0.03%"
"10/13/2022","3,040.45","3,074.45","3,083.22","3,039.49","265.28M","-1.39%"
"10/12/2022","3,083.19","3,101.55","3,107.52","3,081.50","303.86M","-0.70%"
"10/11/2022","3,105.00","3,114.50","3,132.92","3,095.32","269.83M","-0.08%"
"10/10/2022","3,107.47","3,124.45","3,125.06","3,104.88","268.29M","-1.22%"
"10/07/2022","3,145.81","3,160.42","3,165.06","3,138.97","266.47M","-0.18%"
"10/06/2022","3,151.56","3,162.49","3,168.40","3,150.35","239.50M","-0.05%"
"10/05/2022","3,153.23","3,152.21","3,161.65","3,145.80","303.19M","0.46%"
"10/04/2022","3,138.90","3,144.73","3,154.30","3,128.62","211.99M","1.02%"
"10/03/2022","3,107.09","3,113.00","3,126.98","3,102.90","210.88M","-0.74%"
"09/30/2022","3,130.24","3,108.94","3,137.06","3,098.24","381.74M","0.49%"
"09/29/2022","3,115.08","3,130.69","3,155.35","3,115.08","417.60M","-0.04%"
"09/28/2022","3,116.31","3,155.67","3,160.75","3,112.91","372.37M","-1.55%"
"09/27/2022","3,165.50","3,178.09","3,181.61","3,158.32","338.10M","-0.52%"
"09/26/2022","3,181.97","3,214.57","3,223.51","3,169.80","373.21M","-1.40%"
"09/23/2022","3,227.10","3,242.38","3,247.92","3,224.58","386.83M","-1.10%"
"09/22/2022","3,263.07","3,250.67","3,266.64","3,243.46","260.01M","0.04%"
"09/21/2022","3,261.79","3,261.54","3,271.96","3,254.77","208.05M","-0.16%"
"09/20/2022","3,266.94","3,265.91","3,275.51","3,261.63","129.09M","0.33%"
"09/19/2022","3,256.31","3,259.57","3,274.47","3,252.21","172.69M","-0.37%"
"09/16/2022","3,268.29","3,261.92","3,279.68","3,250.51","445.01M","0.01%"
"09/15/2022","3,267.98","3,262.53","3,277.62","3,260.73","192.89M","0.31%"
"09/14/2022","3,258.02","3,241.36","3,266.32","3,241.36","194.30M","-0.97%"
"09/13/2022","3,290.08","3,280.17","3,297.59","3,278.84","191.64M","0.47%"
"09/12/2022","3,274.72","3,277.34","3,279.75","3,264.76","166.27M","0.36%"
"09/09/2022","3,262.95","3,243.20","3,266.64","3,238.89","208.34M","0.91%"
"09/08/2022","3,233.61","3,230.79","3,242.98","3,227.48","200.18M","0.71%"
"09/07/2022","3,210.83","3,207.14","3,217.51","3,198.39","252.78M","-0.41%"
"09/06/2022","3,224.18","3,223.15","3,234.45","3,217.17","197.10M","0.27%"
"09/05/2022","3,215.48","3,211.96","3,222.61","3,207.09","151.51M","0.31%"
"09/02/2022","3,205.69","3,214.50","3,223.50","3,200.58","218.23M","-0.57%"
"09/01/2022","3,224.08","3,211.56","3,231.63","3,207.77","178.35M","0.07%"
"08/31/2022","3,221.67","3,224.17","3,233.61","3,212.18","311.03M","-0.55%"
"08/30/2022","3,239.33","3,221.74","3,249.35","3,221.74","182.33M","0.53%"
"08/29/2022","3,222.26","3,210.13","3,225.92","3,205.58","186.14M","-0.84%"
