"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","6,850.62","6,860.12","6,888.74","6,838.59","12.93B","-0.14%"
"12/29/2022","6,860.08","6,850.52","6,879.58","6,786.98","14.10B","0.14%"
"12/28/2022","6,850.52","6,923.07","6,953.04","6,828.14","12.06B","-1.05%"
"12/27/2022","6,923.03","6,835.85","6,933.89","6,835.66","12.17B","1.28%"
"12/26/2022","6,835.81","6,800.71","6,858.15","6,796.17","11.75B","0.52%"
"12/23/2022","6,800.67","6,824.39","6,824.39","6,784.59","12.04B","-0.35%"
"12/22/2022","6,824.43","6,820.70","6,844.12","6,800.62","12.90B","0.06%"
"12/21/2022","6,820.66","6,768.32","6,820.66","6,763.70","13.91B","0.77%"
"12/20/2022","6,768.32","6,779.70","6,792.20","6,715.04","15.18B","-0.17%"
"12/19/2022","6,779.70","6,812.15","6,827.81","6,754.09","12.79B","-0.48%"
"12/16/2022","6,812.19","6,751.86","6,812.19","6,693.77","15.61B","0.89%"
"12/15/2022","6,751.86","6,801.79","6,801.84","6,740.96","14.51B","-0.73%"
"12/14/2022","6,801.75","6,810.36","6,854.10","6,774.13","21.54B","-0.13%"
"12/13/2022","6,810.32","6,734.49","6,826.12","6,714.87","39.61B","1.13%"
"12/12/2022","6,734.45","6,715.12","6,734.45","6,641.81","13.45B","0.29%"
"12/09/2022","6,715.12","6,804.23","6,804.23","6,695.38","12.71B","-1.31%"
"12/08/2022","6,804.23","6,818.79","6,821.05","6,683.63","16.23B","-0.21%"
"12/07/2022","6,818.75","6,892.57","6,892.66","6,799.30","15.87B","-1.07%"
"12/06/2022","6,892.57","6,987.37","6,987.37","6,862.56","14.97B","-1.36%"
"12/05/2022","6,987.33","7,019.64","7,053.90","6,987.33","16.53B","-0.46%"
"12/02/2022","7,019.64","7,020.80","7,021.81","6,967.95","13.95B","-0.02%"
"12/01/2022","7,020.80","7,081.19","7,090.28","7,018.27","16.80B","-0.85%"
"11/30/2022","7,081.31","7,012.11","7,081.31","6,993.70","27.35B","0.99%"
"11/29/2022","7,012.07","7,017.32","7,036.54","6,990.90","16.41B","-0.08%"
"11/28/2022","7,017.36","7,053.11","7,083.38","7,011.45","18.72B","-0.51%"
"11/25/2022","7,053.15","7,080.55","7,086.56","7,013.22","15.87B","-0.39%"
"11/24/2022","7,080.52","7,054.16","7,104.89","7,054.16","15.99B","0.37%"
"11/23/2022","7,054.12","7,030.63","7,089.69","7,026.39","15.75B","0.33%"
"11/22/2022","7,030.59","7,063.25","7,108.83","7,030.59","17.76B","-0.46%"
"11/21/2022","7,063.25","7,082.18","7,107.32","7,050.44","16.28B","-0.27%"
"11/18/2022","7,082.18","7,045.03","7,094.10","7,027.75","16.72B","0.53%"
"11/17/2022","7,044.99","7,014.38","7,051.27","6,965.76","15.66B","0.44%"
"11/16/2022","7,014.38","7,035.50","7,047.00","6,955.53","16.51B","-0.30%"
"11/15/2022","7,035.50","7,019.39","7,048.39","6,999.24","16.78B","0.23%"
"11/14/2022","7,019.39","7,089.21","7,104.76","7,014.30","17.46B","-0.98%"
"11/11/2022","7,089.21","6,967.00","7,106.06","6,967.00","22.61B","1.76%"
"11/10/2022","6,966.84","7,070.08","7,070.08","6,956.29","18.85B","-1.46%"
