"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2022","2,236.40","2,265.73","2,272.67","2,236.38","361.19M","-1.93%"
"12/28/2022","2,280.45","2,296.45","2,296.45","2,276.90","405.89M","-2.24%"
"12/27/2022","2,332.79","2,327.52","2,335.99","2,321.48","448.50M","0.68%"
"12/26/2022","2,317.14","2,312.54","2,321.92","2,304.20","427.84M","0.15%"
"12/23/2022","2,313.69","2,325.86","2,333.08","2,311.90","366.99M","-1.83%"
"12/22/2022","2,356.73","2,340.00","2,356.73","2,335.75","553.05M","1.19%"
"12/21/2022","2,328.95","2,346.39","2,347.00","2,325.78","329.72M","-0.19%"
"12/20/2022","2,333.29","2,344.73","2,353.86","2,324.66","358.77M","-0.80%"
"12/19/2022","2,352.17","2,350.78","2,358.76","2,342.28","323.99M","-0.33%"
"12/16/2022","2,360.02","2,329.75","2,360.44","2,326.83","414.17M","-0.04%"
"12/15/2022","2,360.97","2,383.83","2,392.11","2,360.95","375.39M","-1.60%"
"12/14/2022","2,399.25","2,380.81","2,400.18","2,379.44","409.80M","1.13%"
"12/13/2022","2,372.40","2,385.05","2,388.27","2,364.87","447.56M","-0.03%"
"12/12/2022","2,373.02","2,373.58","2,381.87","2,368.47","499.22M","-0.67%"
"12/09/2022","2,389.04","2,382.73","2,390.08","2,367.25","315.67M","0.76%"
"12/08/2022","2,371.08","2,386.90","2,387.95","2,357.20","351.94M","-0.49%"
"12/07/2022","2,382.81","2,385.87","2,394.88","2,377.98","332.59M","-0.43%"
"12/06/2022","2,393.16","2,397.70","2,416.88","2,390.20","368.64M","-1.08%"
"12/05/2022","2,419.32","2,442.17","2,442.22","2,413.05","385.59M","-0.62%"
"12/02/2022","2,434.33","2,471.50","2,471.50","2,434.33","468.85M","-1.84%"
"12/01/2022","2,479.84","2,501.43","2,501.43","2,474.33","491.38M","0.30%"
"11/30/2022","2,472.53","2,424.44","2,472.53","2,421.42","594.13M","1.61%"
"11/29/2022","2,433.39","2,405.54","2,433.87","2,401.10","550.17M","1.04%"
"11/28/2022","2,408.27","2,425.05","2,425.65","2,401.95","350.50M","-1.21%"
"11/25/2022","2,437.86","2,442.21","2,449.66","2,433.57","438.39M","-0.14%"
"11/24/2022","2,441.33","2,437.51","2,441.33","2,428.12","481.18M","0.96%"
"11/23/2022","2,418.01","2,424.36","2,427.28","2,407.58","474.79M","0.53%"
"11/22/2022","2,405.27","2,405.96","2,426.40","2,401.50","539.17M","-0.59%"
"11/21/2022","2,419.50","2,446.05","2,448.14","2,409.36","544.53M","-1.02%"
"11/18/2022","2,444.48","2,448.13","2,471.87","2,442.87","589.59M","0.06%"
"11/17/2022","2,442.90","2,466.50","2,467.39","2,442.90","914.52M","-1.39%"
"11/16/2022","2,477.45","2,487.00","2,487.00","2,446.79","657.83M","-0.12%"
"11/15/2022","2,480.33","2,482.76","2,485.20","2,463.65","617.40M","0.23%"
"11/14/2022","2,474.65","2,485.18","2,499.43","2,470.60","731.17M","-0.34%"
"11/11/2022","2,483.16","2,466.90","2,486.46","2,463.51","758.25M","3.37%"
"11/10/2022","2,402.23","2,405.77","2,426.10","2,401.99","899.13M","-0.91%"
"11/09/2022","2,424.41","2,408.54","2,429.65","2,403.64","680.72M","1.06%"
"11/08/2022","2,399.04","2,387.20","2,400.39","2,375.67","500.09M","1.15%"
"11/07/2022","2,371.79","2,360.22","2,373.28","2,354.22","392.51M","0.99%"
"11/04/2022","2,348.43","2,325.85","2,348.43","2,316.29","436.43M","0.83%"
"11/03/2022","2,329.17","2,297.45","2,342.86","2,296.44","550.43M","-0.33%"
"11/02/2022","2,336.87","2,326.05","2,346.32","2,323.37","450.63M","0.07%"
"11/01/2022","2,335.22","2,301.58","2,335.57","2,297.57","597.20M","1.81%"
"10/31/2022","2,293.61","2,293.75","2,295.51","2,273.73","401.40M","1.11%"
"10/28/2022","2,268.40","2,276.73","2,292.65","2,266.44","427.24M","-0.89%"
"10/27/2022","2,288.78","2,266.07","2,290.56","2,262.02","587.87M","1.74%"
"10/26/2022","2,249.56","2,240.70","2,258.11","2,234.49","563.44M","0.65%"
"10/25/2022","2,235.07","2,237.04","2,253.24","2,230.75","456.77M","-0.05%"
"10/24/2022","2,236.16","2,248.26","2,256.67","2,229.85","444.82M","1.04%"
"10/21/2022","2,213.12","2,210.59","2,224.04","2,204.64","637.49M","-0.22%"
"10/20/2022","2,218.09","2,225.53","2,231.52","2,200.44","1.11B","-0.86%"
"10/19/2022","2,237.44","2,249.35","2,266.80","2,234.59","895.16M","-0.56%"
"10/18/2022","2,249.95","2,249.15","2,251.74","2,220.71","580.89M","1.36%"
"10/17/2022","2,219.71","2,187.17","2,221.05","2,177.66","498.78M","0.32%"
"10/14/2022","2,212.55","2,200.66","2,220.54","2,193.63","513.52M","2.30%"
"10/13/2022","2,162.87","2,198.29","2,198.34","2,162.87","792.45M","-1.80%"
"10/12/2022","2,202.47","2,191.35","2,205.02","2,181.65","658.35M","0.47%"
"10/11/2022","2,192.07","2,193.02","2,193.05","2,174.06","859.51M","-1.83%"
"10/07/2022","2,232.84","2,217.84","2,245.88","2,215.08","428.68M","-0.22%"
"10/06/2022","2,237.86","2,230.43","2,250.87","2,223.36","643.01M","1.02%"
"10/05/2022","2,215.22","2,248.85","2,253.93","2,204.03","855.79M","0.26%"
"10/04/2022","2,209.38","2,189.51","2,212.38","2,180.84","421.00M","2.50%"
"09/30/2022","2,155.49","2,161.11","2,177.20","2,134.77","950.27M","-0.71%"
"09/29/2022","2,170.93","2,197.75","2,210.61","2,170.14","508.50M","0.08%"
"09/28/2022","2,169.29","2,206.15","2,223.56","2,151.60","596.14M","-2.45%"
"09/27/2022","2,223.86","2,224.39","2,227.35","2,197.90","487.94M","0.13%"
"09/26/2022","2,220.94","2,260.80","2,260.80","2,215.36","622.00M","-3.02%"
"09/23/2022","2,290.00","2,331.33","2,334.06","2,285.71","446.46M","-1.81%"
"09/22/2022","2,332.31","2,319.70","2,335.11","2,309.10","446.82M","-0.63%"
"09/21/2022","2,347.21","2,351.54","2,360.27","2,341.79","378.16M","-0.87%"
"09/20/2022","2,367.85","2,373.64","2,382.52","2,359.84","419.34M","0.52%"
"09/19/2022","2,355.66","2,388.73","2,389.85","2,352.76","403.94M","-1.14%"
"09/16/2022","2,382.78","2,387.56","2,395.10","2,371.11","440.80M","-0.79%"
"09/15/2022","2,401.83","2,416.01","2,421.63","2,401.83","424.11M","-0.40%"
"09/14/2022","2,411.42","2,390.47","2,418.42","2,381.50","461.51M","-1.56%"
"09/13/2022","2,449.54","2,418.59","2,453.95","2,418.59","367.10M","2.74%"
"09/08/2022","2,384.28","2,393.27","2,394.06","2,379.06","423.62M","0.33%"
"09/07/2022","2,376.46","2,395.66","2,398.40","2,365.35","378.20M","-1.39%"
"09/06/2022","2,410.02","2,409.72","2,422.53","2,399.26","294.22M","0.26%"
"09/05/2022","2,403.68","2,410.07","2,424.77","2,392.63","354.74M","-0.24%"
"09/02/2022","2,409.41","2,427.70","2,432.37","2,402.67","391.60M","-0.26%"
"09/01/2022","2,415.61","2,443.00","2,443.61","2,415.61","580.02M","-2.28%"
"08/31/2022","2,472.05","2,433.47","2,473.75","2,426.14","436.25M","0.86%"
"08/30/2022","2,450.93","2,441.21","2,453.91","2,433.48","336.56M","0.99%"
"08/29/2022","2,426.89","2,432.06","2,432.89","2,417.01","448.75M","-2.18%"
"08/26/2022","2,481.03","2,489.14","2,497.76","2,476.75","520.09M","0.15%"
"08/25/2022","2,477.26","2,459.79","2,477.26","2,455.32","426.23M","1.22%"
"08/24/2022","2,447.45","2,446.18","2,454.01","2,430.69","423.50M","0.50%"
"08/23/2022","2,435.34","2,449.31","2,454.55","2,431.83","471.17M","-1.10%"
"08/22/2022","2,462.50","2,467.38","2,475.77","2,457.08","422.55M","-1.21%"
"08/19/2022","2,492.69","2,510.72","2,510.72","2,492.69","459.83M","-0.61%"
"08/18/2022","2,508.05","2,499.30","2,515.37","2,488.09","381.63M","-0.33%"
"08/17/2022","2,516.47","2,536.57","2,543.15","2,512.01","418.05M","-0.67%"
"08/16/2022","2,533.52","2,543.05","2,546.35","2,532.20","398.34M","0.22%"
"08/12/2022","2,527.94","2,519.66","2,533.20","2,514.31","445.55M","0.16%"
"08/11/2022","2,523.78","2,507.74","2,523.78","2,506.41","505.24M","1.73%"
"08/10/2022","2,480.88","2,493.70","2,494.15","2,478.21","479.47M","-0.90%"
"08/09/2022","2,503.46","2,493.57","2,506.49","2,481.36","454.36M","0.42%"
"08/08/2022","2,493.10","2,481.17","2,494.00","2,477.76","418.23M","0.09%"
"08/05/2022","2,490.80","2,481.43","2,497.58","2,480.05","409.78M","0.72%"
"08/04/2022","2,473.11","2,478.44","2,478.95","2,465.32","399.96M","0.47%"
"08/03/2022","2,461.45","2,438.56","2,461.45","2,433.12","475.30M","0.89%"
"08/02/2022","2,439.62","2,451.00","2,451.07","2,428.76","549.92M","-0.52%"
"08/01/2022","2,452.25","2,444.05","2,461.40","2,437.13","487.16M","0.03%"
"07/29/2022","2,451.50","2,453.53","2,463.05","2,442.01","499.37M","0.67%"
