"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","40,420.45","39,747.35","40,420.45","39,694.12","","1.69%"
"12/29/2022","39,747.35","39,279.43","39,747.35","39,205.17","","1.19%"
"12/28/2022","39,279.43","39,802.91","39,866.99","39,027.51","","-1.32%"
"12/27/2022","39,802.91","40,155.16","40,315.77","39,705.66","","-0.88%"
"12/26/2022","40,155.16","39,669.20","40,367.43","39,669.20","","1.23%"
"12/23/2022","39,669.20","39,838.33","39,938.32","39,497.73","","-0.42%"
"12/22/2022","39,838.33","39,342.89","39,926.34","39,330.02","","1.26%"
"12/21/2022","39,342.89","39,832.45","40,022.37","39,276.70","","-1.23%"
"12/20/2022","39,832.45","40,970.82","41,037.14","39,533.29","","-2.78%"
"12/19/2022","40,970.82","41,301.48","41,393.37","40,814.95","","-0.80%"
"12/16/2022","41,301.48","41,179.76","41,393.97","41,087.59","","0.30%"
"12/15/2022","41,179.76","41,737.62","41,996.82","41,109.95","","-1.34%"
"12/14/2022","41,737.62","41,714.30","41,873.91","41,542.32","","0.06%"
"12/13/2022","41,714.30","41,540.55","41,770.57","41,512.43","","0.42%"
"12/12/2022","41,540.55","41,698.28","41,784.48","41,511.20","","-0.38%"
"12/09/2022","41,698.28","41,651.61","41,747.57","41,550.70","","0.11%"
"12/08/2022","41,651.61","41,819.29","41,927.37","41,598.94","","-0.40%"
"12/07/2022","41,819.29","41,539.94","41,900.81","41,539.94","","0.67%"
"12/06/2022","41,539.94","41,612.67","41,743.92","41,296.54","","-0.17%"
"12/05/2022","41,612.67","42,150.10","42,248.53","41,514.81","","-1.28%"
"12/02/2022","42,150.10","42,393.52","42,471.19","41,946.49","","-0.57%"
"12/01/2022","42,393.52","42,348.63","42,658.39","42,348.63","","0.11%"
"11/30/2022","42,348.63","42,373.59","42,515.63","42,274.16","","-0.06%"
"11/29/2022","42,373.59","42,071.34","42,438.08","42,042.48","","0.72%"
"11/28/2022","42,071.34","42,936.73","42,936.73","41,963.94","","-2.02%"
"11/25/2022","42,936.73","42,903.65","43,120.54","42,876.24","","0.08%"
"11/24/2022","42,903.65","42,880.31","43,014.60","42,865.38","","0.05%"
"11/23/2022","42,880.31","42,928.62","43,040.58","42,790.25","","-0.11%"
"11/22/2022","42,928.62","42,761.19","43,076.45","42,761.19","","0.39%"
"11/21/2022","42,761.19","42,730.24","42,853.94","42,664.53","","0.07%"
"11/18/2022","42,730.24","42,819.72","42,819.72","42,600.99","","-0.21%"
"11/17/2022","42,819.72","42,983.75","43,099.75","42,769.37","","-0.38%"
"11/16/2022","42,983.75","42,796.85","43,097.57","42,728.67","","0.44%"
"11/15/2022","42,796.85","42,850.83","43,035.78","42,748.71","","-0.13%"
"11/14/2022","42,850.83","43,092.95","43,092.95","42,761.88","","-0.56%"
"11/11/2022","43,092.95","42,901.27","43,120.83","42,805.88","","0.45%"
"11/10/2022","42,901.27","42,265.36","42,959.28","42,265.36","","1.50%"
"11/08/2022","42,265.36","42,047.36","42,313.64","42,047.36","","0.52%"
"11/07/2022","42,047.36","41,856.31","42,207.42","41,856.31","","0.46%"
"11/04/2022","41,856.31","42,090.71","42,090.71","41,720.90","","-0.56%"
"11/03/2022","42,090.71","41,944.59","42,173.46","41,887.51","","0.35%"
"11/02/2022","41,944.59","41,808.69","42,004.90","41,727.15","","0.33%"
"11/01/2022","41,808.69","41,264.66","41,833.43","41,264.66","","1.32%"
"10/31/2022","41,264.66","41,140.34","41,375.40","41,140.34","","0.30%"
"10/28/2022","41,140.33","41,602.86","41,641.51","41,115.21","","-1.11%"
"10/27/2022","41,602.85","41,540.03","41,711.66","41,318.66","","0.15%"
"10/26/2022","41,540.03","42,190.02","42,190.02","41,490.13","","-1.54%"
"10/25/2022","42,190.02","42,347.23","42,523.51","42,156.68","","-0.37%"
"10/24/2022","42,347.23","42,213.48","42,672.34","42,213.48","","0.32%"
"10/21/2022","42,213.48","42,137.04","42,245.51","41,793.64","","0.18%"
"10/20/2022","42,137.04","42,226.05","42,422.22","42,097.31","","-0.21%"
"10/19/2022","42,226.05","41,839.27","42,265.22","41,839.27","","0.92%"
"10/18/2022","41,839.26","41,755.45","42,007.23","41,755.45","","0.20%"
"10/17/2022","41,755.45","41,948.50","41,988.50","41,725.96","","-0.46%"
"10/14/2022","41,948.50","42,085.72","42,237.29","41,897.05","","-0.33%"
"10/13/2022","42,085.72","42,007.14","42,121.40","41,900.85","","0.19%"
"10/12/2022","42,007.14","42,155.48","42,195.36","41,950.98","","-0.35%"
"10/11/2022","42,155.48","42,211.64","42,410.83","42,053.81","","-0.13%"
"10/10/2022","42,211.64","42,085.25","42,441.29","42,071.67","","0.30%"
"10/07/2022","42,085.25","42,160.57","42,389.20","41,992.11","","-0.18%"
"10/06/2022","42,160.57","41,611.42","42,201.55","41,611.42","","1.32%"
"10/05/2022","41,611.42","41,350.43","41,668.46","41,350.43","","0.63%"
"10/04/2022","41,350.43","41,211.70","41,587.73","41,211.70","","0.34%"
"10/03/2022","41,211.70","41,128.67","41,403.73","41,090.52","","0.20%"
"09/30/2022","41,128.67","41,013.86","41,134.99","40,753.94","","0.28%"
"09/29/2022","41,013.86","41,435.13","41,435.13","40,910.82","","-1.02%"
"09/28/2022","41,435.13","41,518.23","41,820.95","41,391.18","","-0.20%"
"09/27/2022","41,518.23","41,151.54","41,589.89","41,151.54","","0.89%"
"09/26/2022","41,151.54","40,620.21","41,196.63","40,620.21","","1.31%"
"09/23/2022","40,620.21","40,927.95","41,128.83","40,514.33","","-0.75%"
"09/22/2022","40,927.95","40,965.58","40,986.95","40,417.92","","-0.09%"
"09/21/2022","40,965.58","41,220.91","41,357.75","40,871.82","","-0.62%"
"09/20/2022","41,220.91","41,520.59","41,642.02","41,078.71","","-0.72%"
"09/19/2022","41,520.59","41,679.49","41,896.62","41,504.64","","-0.38%"
"09/16/2022","41,679.49","41,772.09","41,916.86","41,603.48","","-0.22%"
"09/15/2022","41,772.09","42,011.82","42,311.63","41,724.81","","-0.39%"
"09/14/2022","41,937.62","42,001.34","42,084.45","41,912.84","","-0.15%"
"09/13/2022","42,001.34","41,862.29","42,092.72","41,862.29","","0.33%"
"09/12/2022","41,862.29","41,948.16","42,137.80","41,812.93","","-0.20%"
"09/09/2022","41,948.16","41,824.79","42,099.54","41,815.49","","0.29%"
"09/08/2022","41,824.79","41,766.05","41,936.93","41,676.94","","0.14%"
"09/07/2022","41,766.05","41,860.36","42,064.94","41,703.95","","-0.23%"
"09/06/2022","41,860.36","41,859.30","41,927.05","41,684.01","","0.00%"
"09/05/2022","41,859.30","42,309.11","42,388.34","41,859.10","","-1.06%"
"09/02/2022","42,309.11","42,460.08","42,568.66","42,238.22","","-0.36%"
"09/01/2022","42,460.08","42,351.15","42,667.53","42,351.15","","0.26%"
"08/31/2022","42,351.15","42,195.26","42,472.14","42,079.05","","0.37%"
"08/30/2022","42,195.25","42,504.34","43,052.27","42,106.02","","-0.73%"
"08/29/2022","42,504.34","42,591.51","42,591.51","41,828.13","","-0.20%"
"08/26/2022","42,591.51","43,032.57","43,201.21","42,547.72","","-1.02%"
"08/25/2022","43,032.57","43,337.97","43,457.55","42,961.10","","-0.70%"
"08/24/2022","43,337.97","43,366.77","43,684.11","43,299.48","","-0.07%"
"08/23/2022","43,366.78","42,826.66","43,419.59","42,826.66","","1.26%"
"08/22/2022","42,826.66","43,270.65","43,314.19","42,787.86","","-1.03%"
"08/19/2022","43,270.65","43,481.50","43,531.65","43,232.95","","-0.48%"
"08/18/2022","43,481.50","43,676.56","43,879.23","43,390.33","","-0.45%"
"08/17/2022","43,676.56","43,436.48","43,736.43","43,389.48","","0.55%"
"08/16/2022","43,436.48","43,621.82","43,887.62","43,379.79","","-0.42%"
"08/15/2022","43,621.82","42,857.57","43,659.04","42,857.57","","1.78%"
"08/12/2022","42,857.57","42,243.33","42,874.22","42,243.33","","1.45%"
"08/11/2022","42,243.33","42,494.85","42,678.94","42,215.73","","-0.59%"
"08/10/2022","42,494.85","42,096.24","42,776.47","42,096.24","","0.95%"
"08/05/2022","42,096.24","41,425.37","42,168.08","41,425.37","","1.62%"
"08/04/2022","41,425.37","41,068.87","41,609.90","41,068.87","","0.87%"
"08/03/2022","41,068.87","40,191.61","41,208.09","40,191.61","","2.18%"
"08/02/2022","40,191.61","40,075.96","40,458.09","39,762.50","","0.29%"
"08/01/2022","40,075.96","40,150.36","40,380.64","40,070.67","","-0.19%"
"07/29/2022","40,150.36","40,276.64","40,420.57","40,026.86","","-0.31%"
"07/28/2022","40,276.64","39,972.64","40,623.60","39,972.64","","0.76%"
"07/27/2022","39,972.64","39,894.05","40,097.19","39,605.10","","0.20%"
"07/26/2022","39,894.05","39,844.02","40,135.44","39,712.94","","0.13%"
"07/25/2022","39,844.02","40,077.30","40,077.30","39,720.80","","-0.58%"
"07/22/2022","40,077.30","39,831.75","40,180.78","39,541.09","","0.62%"
"07/21/2022","39,831.75","40,459.70","40,577.06","39,801.21","","-1.55%"
"07/20/2022","40,459.70","40,389.07","40,533.60","40,135.38","","0.17%"
"07/19/2022","40,389.07","41,367.11","41,551.53","40,216.38","","-2.36%"
"07/18/2022","41,367.11","42,074.91","42,074.91","41,275.08","","-1.68%"
"07/15/2022","42,074.91","42,348.91","42,499.48","42,027.37","","-0.65%"
"07/14/2022","42,348.91","41,862.77","42,362.91","41,862.77","","1.16%"
"07/13/2022","41,862.77","41,344.01","41,971.83","41,223.97","","1.25%"
"07/07/2022","41,344.01","41,159.79","41,396.57","41,009.64","","0.45%"
"07/06/2022","41,159.79","41,102.57","41,334.90","41,102.57","","0.14%"
"07/05/2022","41,102.57","41,348.19","41,458.08","41,068.60","","-0.59%"
"07/04/2022","41,348.19","41,630.35","41,685.69","41,323.42","","-0.68%"
"07/01/2022","41,630.35","41,540.83","41,744.86","41,538.49","","0.22%"
"06/30/2022","41,540.83","41,297.73","41,559.31","41,220.49","","0.59%"
"06/29/2022","41,297.73","41,765.62","41,813.62","41,119.19","","-1.12%"
"06/28/2022","41,765.62","41,878.57","42,149.29","41,614.60","","-0.27%"
