"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","2,154.12","2,149.83","2,154.47","2,139.79","","0.33%"
"12/29/2022","2,147.06","2,135.91","2,149.94","2,134.48","","0.34%"
"12/28/2022","2,139.77","2,150.12","2,152.47","2,136.68","","-0.52%"
"12/27/2022","2,150.92","2,142.08","2,154.35","2,138.11","","0.55%"
"12/26/2022","2,139.21","2,126.40","2,139.78","2,126.40","","0.72%"
"12/23/2022","2,124.02","2,121.99","2,128.27","2,110.59","","0.05%"
"12/22/2022","2,122.91","2,124.37","2,134.48","2,114.91","","0.32%"
"12/21/2022","2,116.13","2,135.41","2,139.49","2,102.24","","-0.15%"
"12/20/2022","2,119.37","2,071.10","2,119.37","2,070.58","","-0.50%"
"12/19/2022","2,129.98","2,131.33","2,139.07","2,109.56","","-0.13%"
"12/16/2022","2,132.75","2,118.43","2,135.79","2,116.08","","0.28%"
"12/15/2022","2,126.80","2,151.69","2,151.69","2,115.21","","-1.53%"
"12/14/2022","2,159.81","2,171.12","2,171.31","2,154.65","","-0.67%"
"12/13/2022","2,174.38","2,175.29","2,177.95","2,154.52","","0.06%"
"12/12/2022","2,173.16","2,178.33","2,185.49","2,163.33","","-0.22%"
"12/09/2022","2,177.85","2,178.93","2,183.97","2,169.04","","-0.30%"
"12/08/2022","2,184.43","2,196.17","2,197.77","2,174.57","","-0.39%"
"12/07/2022","2,192.88","2,185.01","2,193.71","2,166.77","","-0.15%"
"12/06/2022","2,196.24","2,204.51","2,208.36","2,184.65","","-0.55%"
"12/05/2022","2,208.28","2,179.79","2,210.70","2,174.17","","1.28%"
"12/02/2022","2,180.44","2,189.19","2,189.35","2,173.48","","-0.31%"
"12/01/2022","2,187.29","2,189.65","2,193.41","2,183.57","","0.59%"
"11/30/2022","2,174.53","2,184.27","2,184.27","2,172.67","","-0.49%"
"11/29/2022","2,185.32","2,180.65","2,191.44","2,178.34","","0.36%"
"11/28/2022","2,177.45","2,180.32","2,182.16","2,163.44","","-0.81%"
"11/25/2022","2,195.17","2,209.31","2,211.10","2,190.67","","-0.71%"
"11/24/2022","2,210.95","2,214.14","2,225.92","2,206.12","","-0.04%"
"11/23/2022","2,211.89","2,196.24","2,217.40","2,180.64","","0.72%"
"11/22/2022","2,196.04","2,179.76","2,200.06","2,169.62","","1.37%"
"11/21/2022","2,166.31","2,204.90","2,204.90","2,161.35","","-1.81%"
"11/18/2022","2,206.32","2,208.39","2,211.70","2,189.93","","-0.30%"
"11/17/2022","2,212.93","2,227.54","2,235.76","2,200.11","","-0.64%"
"11/16/2022","2,227.19","2,199.10","2,232.83","2,191.95","","0.18%"
"11/15/2022","2,223.26","2,249.22","2,254.94","2,211.19","","-0.96%"
"11/14/2022","2,244.77","2,230.80","2,245.90","2,221.31","","1.23%"
"11/11/2022","2,217.44","2,221.68","2,224.97","2,204.33","","0.34%"
"11/10/2022","2,210.02","2,167.96","2,211.21","2,161.57","","2.01%"
"11/09/2022","2,166.56","2,201.06","2,205.92","2,166.42","","-1.84%"
"11/08/2022","2,207.20","2,213.39","2,221.13","2,188.22","","-0.07%"
"11/07/2022","2,208.78","2,176.33","2,208.78","2,172.34","","2.45%"
"11/03/2022","2,155.92","2,145.54","2,156.78","2,123.32","","-0.82%"
"11/02/2022","2,173.84","2,178.25","2,184.89","2,160.56","","-0.02%"
"11/01/2022","2,174.35","2,179.15","2,185.60","2,161.18","","0.36%"
"10/31/2022","2,166.61","2,173.00","2,184.38","2,155.75","","-0.05%"
"10/28/2022","2,167.70","2,154.28","2,171.88","2,130.75","","0.14%"
"10/27/2022","2,164.64","2,133.81","2,164.64","2,123.57","","2.08%"
"10/26/2022","2,120.58","2,131.18","2,144.56","2,093.12","","-0.47%"
"10/25/2022","2,130.65","2,066.28","2,130.65","2,058.09","","3.23%"
"10/24/2022","2,063.95","2,070.36","2,088.31","2,048.37","","0.99%"
"10/21/2022","2,043.71","2,026.44","2,049.00","2,000.68","","0.90%"
"10/20/2022","2,025.51","1,998.74","2,032.58","1,991.09","","2.38%"
"10/19/2022","1,978.40","1,986.67","2,006.06","1,953.74","","-2.66%"
"10/18/2022","2,032.40","2,031.56","2,039.67","1,999.38","","0.97%"
"10/17/2022","2,012.85","1,958.18","2,013.61","1,955.70","","3.17%"
"10/14/2022","1,950.98","1,963.38","1,965.77","1,933.29","","-0.22%"
"10/13/2022","1,955.20","1,950.24","1,975.84","1,941.18","","0.18%"
"10/12/2022","1,951.65","1,965.39","1,974.59","1,937.93","","0.11%"
"10/11/2022","1,949.46","1,928.74","1,952.80","1,909.11","","1.69%"
