"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","25.05","25.05","25.10","25.00","6.86M","0.00%"
"12/29/2022","25.05","25.00","25.05","24.55","5.73M","0.20%"
"12/28/2022","25.00","25.00","25.25","24.80","2.22M","0.00%"
"12/23/2022","25.00","24.00","25.00","24.60","2.21M","4.17%"
"12/22/2022","24.00","24.00","24.55","23.75","1.96M","0.00%"
"12/21/2022","24.00","24.00","24.20","23.70","185.49K","0.00%"
"12/20/2022","24.00","24.20","24.20","24.00","932.98K","-0.83%"
"12/19/2022","24.20","24.20","24.20","23.95","2.83M","0.00%"
"12/16/2022","24.20","24.00","24.20","24.00","3.63M","0.83%"
"12/15/2022","24.00","24.00","23.90","23.10","2.03M","0.00%"
"12/14/2022","24.00","24.50","24.10","24.00","2.70M","-2.04%"
"12/13/2022","24.50","24.50","24.30","23.15","1.34M","0.00%"
"12/12/2022","24.50","24.50","24.00","23.40","347.95K","0.00%"
"12/09/2022","24.50","24.50","24.45","24.00","510.06K","0.00%"
"12/08/2022","24.50","24.45","24.50","23.50","4.38M","0.20%"
"12/07/2022","24.45","24.30","24.45","24.25","1.91M","0.62%"
"12/06/2022","24.30","24.00","24.30","23.90","781.75K","1.25%"
"12/05/2022","24.00","23.95","24.00","23.90","722.93K","0.21%"
"12/02/2022","23.95","24.00","23.95","23.90","664.25K","-0.21%"
"12/01/2022","24.00","24.45","24.00","24.00","640.88K","-1.84%"
"11/30/2022","24.45","24.00","24.50","24.00","1.75M","1.88%"
"11/29/2022","24.00","23.50","24.00","22.00","2.58M","2.13%"
"11/28/2022","23.50","22.80","23.50","22.90","2.39M","3.07%"
"11/25/2022","22.80","22.80","22.80","22.80","285.64K","0.00%"
"11/24/2022","22.80","23.50","23.00","22.80","1.04M","-2.98%"
"11/23/2022","23.50","23.50","23.50","22.75","1.93M","0.00%"
"11/22/2022","23.50","23.20","23.50","23.00","1.64M","1.29%"
