Date,Price,Open,High,Low,Vol.,Change %
1/2/13,"32,413.03","31,858.83","32,414.21","31,853.19",,1.76%
1/3/13,"33,183.20","33,075.92","33,184.22","32,701.85",,0.33%
1/7/13,"35,832.16","36,164.79","36,172.16","35,819.69",,-0.91%
1/8/13,"38,292.07","37,910.27","38,292.36","37,910.27",,1.00%
1/11/13,"37,765.82","37,622.74","37,792.79","37,572.73",,0.38%
2/1/13,"28,501.21","28,078.81","28,503.64","28,078.81",,1.50%
2/4/13,"34,351.87","33,540.82","34,444.31","33,489.04",,2.43%
2/5/13,"34,502.38","33,440.57","34,528.52","33,417.12",,3.18%
2/7/13,"36,043.48","35,860.97","36,069.14","35,832.16",,0.59%
2/8/13,"38,424.34","38,292.07","38,450.97","38,267.83",,0.35%
2/9/13,"36,337.15","36,247.86","36,363.30","36,186.85",,0.24%
2/10/13,"36,908.06","36,585.08","36,908.06","36,143.56",,0.88%
2/12/13,"39,045.07","38,920.85","39,045.07","38,875.59",,0.32%
3/1/13,"28,441.39","28,505.75","28,681.28","28,386.39",,-0.21%
3/4/13,"34,548.73","34,351.87","34,875.50","34,227.49",,0.57%
3/5/13,"35,109.33","34,502.16","35,116.35","34,501.50",,1.76%
3/6/13,"37,822.99","37,790.64","37,893.41","37,720.38",,0.07%
3/7/13,"35,949.01","36,041.65","36,063.70","35,945.99",,-0.26%
3/9/13,"36,230.83","36,337.30","36,407.43","36,243.60",,-0.29%
3/10/13,"36,831.03","36,908.06","36,831.03","36,158.04",,-0.21%
3/12/13,"38,955.42","39,045.07","39,126.78","38,890.46",,-0.23%
4/1/13,"28,463.30","28,455.72","28,508.85","28,441.39",,0.08%
4/2/13,"32,685.03","32,409.43","32,687.05","32,105.66",,0.84%
4/3/13,"32,947.13","33,186.81","33,233.33","32,934.07",,-0.71%
4/4/13,"34,339.65","34,585.06","34,764.09","34,326.92",,-0.61%
4/6/13,"38,486.08","37,822.99","38,509.24","37,818.07",,1.75%
4/7/13,"36,509.64","35,949.69","36,514.43","35,948.58",,1.56%
4/9/13,"36,215.57","36,230.83","36,651.30","36,121.85",,-0.04%
4/10/13,"36,925.82","36,436.98","36,925.82","36,436.98",,0.26%
4/11/13,"37,937.61","37,765.16","37,937.61","37,373.09",,0.45%
4/12/13,"38,990.20","38,955.42","39,065.17","38,909.70",,0.09%
5/2/13,"33,064.37","32,684.13","33,248.03","32,516.93",,1.16%
5/3/13,"32,784.56","32,947.83","32,997.86","32,716.27",,-0.49%
5/4/13,"34,301.37","34,353.85","34,364.68","34,232.42",,-0.11%
5/6/13,"39,453.23","38,486.08","39,456.87","38,463.77",,2.51%
5/7/13,"36,926.29","36,510.39","37,021.67","36,372.04",,1.14%
5/8/13,"38,350.96","38,424.34","38,522.74","38,297.61",,-0.19%
5/9/13,"36,476.30","36,215.57","36,743.39","36,214.53",,0.72%
5/11/13,"38,054.23","37,937.61","38,054.23","37,373.09",,0.31%
5/12/13,"38,864.84","38,990.20","39,006.22","38,797.09",,-0.32%
6/2/13,"33,460.14","33,064.62","33,503.87","33,019.69",,1.20%
6/3/13,"32,731.08","32,784.27","32,825.80","32,703.54",,-0.16%
6/5/13,"34,935.62","35,099.15","35,232.38","35,099.15",,-0.49%
6/6/13,"39,510.11","39,453.64","40,716.06","39,369.05",,0.14%
6/8/13,"38,227.63","38,350.96","38,404.50","38,178.98",,-0.32%
6/9/13,"36,403.95","36,477.04","36,502.28","36,379.90",,-0.20%
6/11/13,"38,125.18","38,054.23","38,125.18","38,041.44",,0.19%
6/12/13,"38,738.15","38,864.84","38,835.71","38,676.29",,-0.33%
7/1/13,"28,986.20","28,501.70","28,988.28","28,501.70",,1.84%
7/2/13,"33,219.20","33,460.39","33,556.82","33,206.68",,-0.72%
7/3/13,"32,772.73","32,731.08","32,796.89","32,578.56",,0.13%
7/5/13,"34,815.24","34,935.14","34,992.79","34,350.70",,-0.34%
7/6/13,"39,564.79","39,510.30","40,364.73","39,475.67",,0.14%
7/8/13,"38,037.85","38,227.63","38,277.47","38,034.00",,-0.50%
7/10/13,"36,857.22","36,925.82","36,925.82","36,585.08",,-0.19%
7/11/13,"38,125.91","38,125.18","38,265.79","38,056.49",,0.00%
8/1/13,"29,089.52","28,986.20","29,188.76","28,956.39",,0.36%
8/2/13,"33,313.49","33,219.48","33,382.41","33,061.94",,0.28%
8/3/13,"32,849.11","32,772.73","32,947.13","32,731.08",,0.23%
8/4/13,"34,810.25","34,295.48","34,828.07","34,292.60",,1.48%
8/5/13,"35,486.44","34,815.24","35,496.14","34,774.35",,1.93%
8/7/13,"36,790.14","36,926.29","36,926.29","36,766.87",,-0.37%
8/10/13,"36,904.52","36,857.22","36,925.82","36,826.34",,0.13%
8/11/13,"37,870.87","38,125.91","38,125.91","37,870.87",,-0.67%
