"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2022","6,566.39","6,553.67","6,591.28","6,529.69","161.07K","0.00%"
"12/28/2022","6,566.54","6,567.13","6,576.71","6,530.27","88.56K","0.02%"
"12/27/2022","6,564.90","6,549.09","6,579.26","6,519.90","75.38K","0.36%"
"12/26/2022","6,541.03","6,541.03","6,541.03","6,541.03","","0.00%"
"12/23/2022","6,541.03","6,567.92","6,567.92","6,536.67","56.10K","-0.55%"
"12/22/2022","6,576.94","6,540.93","6,580.21","6,521.67","183.69K","0.86%"
"12/21/2022","6,520.80","6,464.35","6,521.17","6,449.64","158.60K","0.97%"
"12/20/2022","6,458.12","6,412.42","6,458.12","6,385.20","87.79K","0.68%"
"12/19/2022","6,414.27","6,474.00","6,477.99","6,360.97","244.90K","-1.27%"
"12/16/2022","6,496.50","6,523.07","6,552.32","6,478.28","211.65K","-1.07%"
"12/15/2022","6,566.80","6,618.85","6,631.09","6,537.54","120.43K","-0.73%"
"12/14/2022","6,615.07","6,610.46","6,632.12","6,583.35","131.08K","0.50%"
"12/13/2022","6,582.38","6,611.16","6,631.66","6,566.95","135.97K","-0.04%"
"12/12/2022","6,585.20","6,602.58","6,642.40","6,566.86","106.09K","0.08%"
"12/09/2022","6,580.12","6,560.13","6,580.12","6,515.53","134.55K","0.84%"
"12/07/2022","6,525.16","6,662.75","6,662.75","6,525.16","143.05K","-2.24%"
"12/06/2022","6,674.38","6,463.01","6,674.38","6,456.81","132.67K","3.61%"
"12/05/2022","6,442.13","6,503.57","6,541.77","6,442.13","90.80K","-0.73%"
"12/02/2022","6,489.65","6,731.17","6,731.17","6,489.65","115.44K","-3.64%"
"12/01/2022","6,734.99","6,814.14","6,814.14","6,732.96","237.30K","-0.68%"
"11/29/2022","6,780.78","6,652.00","6,780.78","6,600.02","1.30M","1.49%"
"11/28/2022","6,681.47","6,589.83","6,681.61","6,570.62","141.18K","1.13%"
"11/25/2022","6,606.94","6,529.11","6,606.94","6,480.62","114.96K","1.17%"
"11/24/2022","6,530.51","6,503.98","6,536.17","6,496.89","107.83K","0.31%"
"11/23/2022","6,510.32","6,441.42","6,510.32","6,437.76","100.42K","1.25%"
"11/22/2022","6,429.65","6,401.40","6,463.18","6,401.40","106.46K","0.41%"
"11/21/2022","6,403.24","6,451.44","6,451.44","6,364.30","115.39K","-0.53%"
"11/18/2022","6,437.38","6,415.34","6,451.61","6,403.50","143.03K","0.53%"
"11/17/2022","6,403.74","6,380.81","6,406.01","6,366.05","102.77K","0.18%"
"11/16/2022","6,392.09","6,423.63","6,423.63","6,333.95","174.78K","-0.42%"
"11/15/2022","6,418.94","6,334.67","6,418.94","6,320.74","128.90K","1.01%"
"11/14/2022","6,354.76","6,296.22","6,362.35","6,289.05","140.72K","1.08%"
"11/11/2022","6,286.77","6,307.73","6,349.26","6,272.20","109.70K","1.93%"
"11/10/2022","6,167.57","6,230.84","6,248.91","6,158.26","106.48K","-1.19%"
"11/09/2022","6,241.68","6,286.25","6,320.39","6,236.96","112.22K","-0.75%"
"11/08/2022","6,289.10","6,303.58","6,345.83","6,260.50","92.01K","-0.10%"
"11/07/2022","6,295.58","6,184.79","6,295.58","6,167.65","101.09K","1.78%"
"11/04/2022","6,185.53","6,148.47","6,185.53","6,083.50","85.28K","0.48%"
"11/03/2022","6,156.11","6,155.80","6,157.46","6,110.03","79.11K","-0.81%"
"11/02/2022","6,206.24","6,258.91","6,258.91","6,159.60","120.53K","0.86%"
"10/31/2022","6,153.43","6,153.43","6,153.43","6,153.43","","0.00%"
"10/28/2022","6,153.43","6,210.84","6,210.84","6,153.43","93.14K","-1.24%"
"10/27/2022","6,230.58","6,120.90","6,230.58","6,111.94","95.88K","1.78%"
"10/26/2022","6,121.53","6,070.01","6,121.53","6,053.59","61.97K","0.79%"
"10/25/2022","6,073.41","6,038.11","6,073.41","6,020.88","80.83K","0.74%"
"10/24/2022","6,028.79","6,021.54","6,071.70","6,018.98","69.29K","0.76%"
"10/21/2022","5,983.56","6,067.63","6,075.74","5,983.56","80.65K","-1.20%"
"10/20/2022","6,055.99","6,137.26","6,181.75","6,028.49","257.90K","-1.50%"
"10/19/2022","6,148.31","6,130.95","6,148.31","6,077.38","80.43K","0.32%"
"10/18/2022","6,128.64","5,997.78","6,128.64","5,969.78","128.05K","2.65%"
"10/17/2022","5,970.33","5,901.55","5,977.13","5,891.78","72.24K","1.11%"
"10/14/2022","5,904.75","5,954.96","5,967.69","5,904.75","102.97K","0.15%"
"10/13/2022","5,895.64","5,869.85","5,914.73","5,841.57","78.56K","0.72%"
"10/12/2022","5,853.63","5,850.59","5,873.11","5,836.82","74.91K","0.11%"
"10/11/2022","5,847.37","5,849.87","5,899.40","5,835.22","100.57K","0.25%"
"10/10/2022","5,832.58","5,898.83","5,898.83","5,832.58","66.47K","-1.68%"
"10/07/2022","5,932.19","5,940.77","5,941.80","5,869.59","74.05K","-0.04%"
"10/06/2022","5,934.27","5,990.28","6,021.58","5,934.27","80.03K","-0.91%"
"10/05/2022","5,988.59","6,033.43","6,033.43","5,949.81","107.16K","0.01%"
"10/04/2022","5,987.72","5,851.77","5,987.72","5,850.65","103.38K","3.54%"
"10/03/2022","5,783.15","5,734.34","5,784.19","5,699.30","89.95K","0.73%"
"09/30/2022","5,741.07","5,874.57","5,874.57","5,741.07","180.63K","-3.26%"
"09/29/2022","5,934.25","5,967.32","6,006.52","5,911.65","152.03K","0.93%"
"09/28/2022","5,879.68","6,038.98","6,044.17","5,879.68","147.02K","-2.33%"
"09/27/2022","6,020.07","6,193.04","6,193.04","5,962.17","179.16K","-3.83%"
"09/26/2022","6,259.54","6,259.54","6,259.54","6,259.54","","0.00%"
"09/23/2022","6,259.54","6,291.37","6,291.37","6,235.67","126.40K","-0.67%"
"09/22/2022","6,301.71","6,304.19","6,304.19","6,227.58","161.11K","-0.63%"
"09/21/2022","6,341.69","6,437.40","6,446.98","6,315.54","128.60K","-1.66%"
"09/20/2022","6,448.46","6,459.92","6,500.76","6,448.46","97.75K","0.17%"
"09/19/2022","6,437.42","6,544.64","6,550.02","6,433.32","106.86K","-1.70%"
"09/16/2022","6,548.77","6,586.91","6,588.25","6,539.25","439.64K","-0.41%"
"09/15/2022","6,575.67","6,586.55","6,633.63","6,575.67","101.59K","-0.11%"
"09/14/2022","6,582.86","6,604.48","6,618.13","6,560.51","136.25K","-1.77%"
"09/13/2022","6,701.81","6,710.89","6,710.89","6,666.14","84.97K","-0.21%"
"09/12/2022","6,715.75","6,625.40","6,715.75","6,625.40","72.11K","1.66%"
"09/09/2022","6,606.00","6,593.57","6,629.29","6,586.72","81.13K","0.19%"
"09/08/2022","6,593.74","6,574.48","6,600.66","6,548.08","124.03K","0.61%"
"09/07/2022","6,554.08","6,709.46","6,709.46","6,554.08","118.54K","-2.32%"
"09/06/2022","6,709.60","6,681.13","6,721.41","6,668.41","95.47K","0.50%"
"09/05/2022","6,676.04","6,693.84","6,698.54","6,640.03","84.40K","-0.25%"
"09/02/2022","6,692.65","6,586.08","6,692.65","6,586.08","97.46K","1.58%"
"09/01/2022","6,588.28","6,594.67","6,606.21","6,569.17","125.63K","0.07%"
"08/31/2022","6,583.65","6,661.15","6,661.15","6,583.65","247.46K","-1.59%"
"08/30/2022","6,690.27","6,616.43","6,690.44","6,600.99","146.20K","-0.92%"
