"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","27,612.62","27,509.94","27,642.48","27,350.45","","0.37%"
"12/29/2022","27,509.94","27,305.21","27,521.11","27,304.82","","0.75%"
"12/28/2022","27,305.21","27,276.82","27,365.90","27,058.48","","0.10%"
"12/27/2022","27,276.82","27,592.72","27,698.57","27,236.45","","-1.14%"
"12/26/2022","27,592.72","27,766.89","27,829.39","27,556.25","","-0.63%"
"12/23/2022","27,767.80","27,558.45","27,809.43","27,558.45","","0.76%"
"12/22/2022","27,558.45","27,923.72","27,929.37","27,437.35","","-1.31%"
"12/21/2022","27,923.72","28,095.10","28,260.68","27,859.92","","-0.61%"
"12/20/2022","28,095.10","27,696.65","28,144.87","27,594.72","","1.44%"
"12/19/2022","27,696.65","27,371.07","27,698.22","27,348.38","","1.19%"
"12/16/2022","27,371.07","27,218.71","27,371.26","27,068.31","","0.56%"
"12/15/2022","27,218.71","27,795.79","27,800.44","27,128.98","","-2.08%"
"12/14/2022","27,795.79","27,968.44","27,991.34","27,686.58","","-0.62%"
"12/13/2022","27,968.44","28,035.65","28,301.79","27,959.35","","-0.24%"
"12/12/2022","28,035.65","27,701.24","28,049.93","27,619.56","","1.21%"
"12/09/2022","27,701.24","27,779.11","27,806.96","27,515.03","","-0.28%"
"12/07/2022","27,779.11","27,905.69","28,007.90","27,732.46","","-0.45%"
"12/06/2022","27,905.69","28,247.98","28,362.26","27,777.53","","-1.21%"
"12/05/2022","28,247.98","28,411.68","28,492.10","28,233.63","","-0.58%"
"12/02/2022","28,411.68","28,290.03","28,596.28","27,994.16","","0.43%"
"12/01/2022","28,290.03","28,431.30","28,455.78","28,176.53","","-0.50%"
"11/30/2022","28,431.30","28,155.47","28,435.36","27,951.23","","0.98%"
"11/29/2022","28,155.47","27,855.61","28,240.29","27,835.92","","1.08%"
"11/28/2022","27,855.61","28,144.53","28,153.51","27,855.61","","-1.03%"
"11/25/2022","28,144.53","28,584.57","28,584.57","27,967.80","","-1.54%"
"11/24/2022","28,584.57","28,475.86","28,650.87","28,475.86","","0.38%"
"11/23/2022","28,475.86","28,676.53","28,710.46","28,461.37","","-0.70%"
"11/22/2022","28,676.53","28,814.97","28,975.56","28,359.36","","-0.48%"
"11/21/2022","28,814.97","27,866.02","28,918.83","27,866.02","","3.41%"
"11/18/2022","27,866.02","27,758.32","27,879.12","27,564.27","","0.39%"
"11/17/2022","27,758.32","28,313.11","28,585.39","27,742.51","","-1.96%"
"11/16/2022","28,313.11","28,386.82","28,484.93","28,147.28","","-0.26%"
"11/15/2022","28,386.82","28,852.35","28,852.35","28,188.55","","-1.61%"
"11/14/2022","28,852.35","29,273.19","29,407.56","28,751.73","","-1.44%"
"11/11/2022","29,273.19","29,063.28","29,345.23","29,063.28","","0.72%"
"11/10/2022","29,063.28","28,996.47","29,499.73","28,783.99","","0.23%"
"11/09/2022","28,996.47","29,272.91","29,286.04","28,840.31","","-0.94%"
"11/08/2022","29,272.91","28,507.31","29,272.91","28,507.31","","2.69%"
"11/07/2022","28,507.31","28,195.64","28,508.58","28,091.35","","1.11%"
"11/04/2022","28,195.64","28,048.93","28,320.02","28,048.93","","0.52%"
"11/03/2022","28,048.93","27,969.14","28,072.12","27,415.38","","0.29%"
"11/02/2022","27,969.14","28,101.97","28,119.92","27,862.77","","-0.47%"
"10/28/2022","28,101.97","28,177.89","28,177.89","27,689.37","","-0.27%"
"10/27/2022","28,177.89","28,071.00","28,241.72","27,975.95","","0.38%"
"10/26/2022","28,071.00","28,145.88","28,213.83","27,886.21","","-0.27%"
"10/25/2022","28,145.88","27,773.85","28,155.00","27,662.64","","1.34%"
"10/24/2022","27,773.85","27,977.11","28,255.15","27,734.31","","-0.73%"
"10/21/2022","27,977.11","27,776.69","28,017.31","27,497.18","","0.72%"
"10/20/2022","27,776.69","27,617.65","27,776.69","27,458.00","","0.58%"
"10/19/2022","27,617.65","27,663.32","27,782.01","27,466.86","","-0.17%"
"10/18/2022","27,663.32","27,520.26","27,997.81","27,437.02","","0.52%"
"10/17/2022","27,520.26","26,672.49","27,527.26","26,672.49","","3.18%"
"10/14/2022","26,672.49","26,696.31","27,125.42","26,515.72","","-0.09%"
"10/13/2022","26,696.31","26,474.24","26,826.02","26,063.48","","0.84%"
"10/12/2022","26,474.24","26,995.58","27,110.00","26,284.09","","-1.93%"
"10/11/2022","26,995.58","27,468.73","27,560.27","26,815.84","","-1.72%"
"10/07/2022","27,468.73","28,070.55","28,086.82","27,453.01","","-2.14%"
"10/06/2022","28,070.55","28,112.76","28,225.63","28,004.75","","-0.15%"
"10/05/2022","28,112.76","28,458.73","28,458.73","27,955.32","","-1.22%"
"10/04/2022","28,458.73","27,740.83","28,534.71","27,740.83","","2.59%"
"10/03/2022","27,740.83","27,680.69","27,927.86","27,593.21","","0.22%"
"09/30/2022","27,680.69","27,216.82","27,925.58","27,216.82","","1.70%"
"09/29/2022","27,216.82","27,636.56","27,712.31","27,200.84","","-1.52%"
"09/28/2022","27,636.56","28,140.66","28,165.67","27,624.83","","-1.79%"
"09/27/2022","28,140.66","28,075.81","28,411.07","27,911.06","","0.23%"
"09/26/2022","28,075.81","28,094.29","28,483.40","28,024.80","","-0.07%"
"09/23/2022","28,094.29","28,681.08","28,681.08","28,094.29","","-2.05%"
"09/22/2022","28,681.08","29,247.41","29,247.41","28,659.36","","-1.94%"
"09/21/2022","29,247.41","29,006.70","29,347.59","28,992.07","","0.87%"
"09/20/2022","28,995.29","29,813.99","30,088.99","28,995.29","","-2.75%"
"09/15/2022","29,813.99","30,486.50","30,673.42","29,719.61","","-2.21%"
"09/14/2022","30,486.50","30,111.51","30,750.30","30,082.54","","1.25%"
"09/13/2022","30,111.51","30,073.60","30,445.37","29,661.29","","0.13%"
"09/12/2022","30,073.60","30,375.43","30,580.64","29,979.53","","-0.98%"
"09/09/2022","30,372.68","29,760.63","30,372.68","29,760.63","","2.08%"
"09/08/2022","29,754.67","29,627.11","30,028.10","29,627.11","","0.43%"
"09/07/2022","29,626.15","29,894.88","29,894.88","29,464.56","","-0.89%"
"09/06/2022","29,893.20","30,584.92","30,992.54","29,793.03","","-2.25%"
"09/05/2022","30,580.59","29,790.74","31,554.53","29,790.74","","2.65%"
"09/02/2022","29,790.74","28,638.99","30,004.71","27,946.21","","4.02%"
"09/01/2022","28,638.99","28,903.15","28,918.70","28,447.61","","-0.91%"
"08/31/2022","28,903.15","29,336.78","29,409.89","28,903.15","","-1.48%"
"08/30/2022","29,336.78","29,354.14","29,394.65","29,045.19","","-0.06%"
"08/29/2022","29,354.14","29,185.40","29,371.88","28,899.98","","0.58%"
"08/26/2022","29,185.40","29,195.08","29,285.53","29,069.89","","-0.03%"
"08/25/2022","29,195.08","28,967.00","29,310.48","28,956.58","","0.79%"
"08/24/2022","28,967.00","28,637.23","28,997.54","28,637.23","","1.15%"
"08/23/2022","28,637.23","28,343.33","28,682.70","28,343.33","","1.04%"
"08/22/2022","28,343.33","27,974.57","28,407.03","27,716.90","","1.32%"
"08/19/2022","27,974.57","28,349.11","28,478.00","27,774.22","","-1.32%"
