Date,Open,High,Low,Close,Volume
1/2/13,3188.59,3210.02,3186.28,3201.74,367682816
1/3/13,3225.38,3231.39,3209.7,3224.8,392716384
1/4/13,3231.34,3231.34,3217.98,3225.22,200690496
1/7/13,3233.94,3237.78,3218.26,3218.26,213496400
1/8/13,3221.86,3222.67,3198.38,3205.52,246337536
1/9/13,3206.43,3224.64,3201.68,3220.41,261396880
1/10/13,3231.04,3235.95,3217.84,3226.25,278039520
1/11/13,3229.15,3229.15,3209.21,3216.5,336699104
1/14/13,3193.88,3206.59,3185.12,3206.59,237639424
1/15/13,3200.49,3205.74,3182.26,3196.07,251828896
1/16/13,3199.55,3209.87,3160.83,3208.5,278892000
1/17/13,3209.19,3221.16,3192.45,3195.1,328270400
1/18/13,3205.88,3214.39,3200.06,3211.22,181291696
1/21/13,3213.95,3226.83,3210.74,3221.32,274750592
1/22/13,3221.92,3225.54,3210.97,3219.86,251325264
1/23/13,3223.28,3235.32,3222.17,3231.23,217792096
1/24/13,3232.17,3251.55,3221.74,3248.39,218267808
1/25/13,3254.84,3269.31,3248.16,3269.31,205199360
1/28/13,3272.33,3281.46,3271.63,3273.91,298144096
1/29/13,3275.78,3276.31,3259.75,3259.75,226406704
1/30/13,3265.95,3285.9,3264.51,3285.9,188998640
1/31/13,3287.31,3290.9,3276.83,3282.66,366877600
2/1/13,3286.65,3293.31,3275.76,3291.14,225123808
2/4/13,3307.14,3319.19,3294.34,3297.37,231553904
2/5/13,3285.86,3286.07,3261.04,3272.66,210531104
2/6/13,3282.99,3282.99,3270.05,3276.53,187431104
2/7/13,3274.81,3277.45,3254.61,3261.77,259164896
2/8/13,3259.97,3275.29,3254.68,3270.3,271070688
2/13/13,3285.76,3304.87,3285.76,3301.04,245265504
2/14/13,3298.08,3299.8,3289.41,3290.47,282903808
2/15/13,3290.65,3291.18,3273.95,3283.07,200135904
2/18/13,3288.24,3290.62,3279.98,3288.14,152887008
2/19/13,3297.91,3306.61,3288.32,3295.77,213124896
2/20/13,3309.27,3311.67,3298.09,3308.89,201205104
2/21/13,3299.62,3304.99,3279.85,3287.6,244282896
2/22/13,3286.26,3288.55,3274.86,3288.13,261181504
2/25/13,3297.57,3297.57,3287.42,3288.76,243488912
2/26/13,3269.31,3277.12,3250.87,3254.26,884243776
2/27/13,3258.63,3270.96,3255.11,3261.12,232619600
2/28/13,3281.19,3282.9,3261.04,3269.95,303183200
3/1/13,3266.84,3279.17,3264.77,3269.5,247762256
3/4/13,3264.57,3266.3,3234.67,3239.95,432793504
3/5/13,3248.91,3255.96,3242.55,3248.26,304590016
3/6/13,3272.65,3291.81,3265.94,3291.81,240363296
3/7/13,3291.81,3299.6,3286.94,3298.54,299845088
3/8/13,3296.64,3300.16,3285.69,3289.53,253661408
3/11/13,3294.94,3299.47,3283.89,3292.97,282158784
3/12/13,3299.12,3317.42,3299.07,3303.02,238063104
3/13/13,3293.14,3303.96,3278.31,3288.52,298154784
3/14/13,3287.27,3287.41,3275.66,3279.5,236089760
3/15/13,3291.75,3305.77,3277.42,3286.05,607103488
3/18/13,3261.16,3269.33,3252.88,3256.47,367355808
3/19/13,3263.18,3283.7,3263.12,3269.13,320404000
3/20/13,3255.79,3265.85,3248.4,3248.4,356229312
3/21/13,3248.96,3274.55,3248.87,3267.65,225524704
3/22/13,3259.56,3271.48,3256.71,3258.57,223015600
3/25/13,3264.69,3278.38,3264.69,3267.48,183359200
3/26/13,3266.48,3288.53,3266.18,3288.53,288615200
3/27/13,3292.21,3314.16,3287.53,3313.03,323530816
3/28/13,3321.62,3321.62,3306.34,3308.1,272558912
4/1/13,3313.37,3314.67,3305.43,3307.58,126263800
4/2/13,3302.77,3317.59,3300.61,3317.59,240600304
4/3/13,3323.81,3331.26,3311.76,3321.77,375951808
4/4/13,3315,3318.16,3307.8,3307.8,244155808
4/5/13,3311.07,3313.61,3295.98,3299.78,331476992
4/8/13,3294.96,3298.85,3283.52,3284.61,342232800
4/9/13,3292.16,3308.51,3290.41,3296.57,236431312
4/10/13,3297.52,3301.76,3278.41,3293.25,257318608
4/11/13,3303.83,3313.5,3300.26,3308.8,214924496
4/12/13,3307.45,3314.91,3289.53,3294.19,204175200
4/15/13,3290.15,3293.95,3279.11,3284.37,221046896
4/16/13,3270.33,3298.39,3264.08,3291.58,365435008
4/17/13,3297.57,3301.95,3284.29,3291.46,319623488
4/18/13,3292.89,3300.83,3281.89,3296.37,390284512
4/19/13,3287.03,3300.36,3283.21,3294.05,301199104
4/22/13,3302.18,3312.14,3291.27,3308.92,244612992
4/23/13,3308.3,3310.46,3279.94,3284.35,271460896
4/24/13,3297.19,3322.71,3279.82,3322.71,297704096
4/25/13,3315.26,3337.71,3309.39,3337.71,398924416
4/26/13,3345.03,3353.04,3340.38,3348.87,295465312
4/29/13,3351.15,3362.63,3347.19,3361.92,281795488
4/30/13,3378.19,3383.46,3365.76,3368.18,438967808
5/2/13,3370.19,3405.09,3367.79,3402.39,507518144
5/3/13,3398.88,3400.47,3367.36,3369.9,454937216
5/6/13,3381.28,3392.86,3376.77,3382.29,366941504
5/7/13,3384.8,3397.6,3382.91,3383.16,422838016
5/8/13,3393.59,3423.57,3393.59,3413.02,415059808
5/9/13,3424.54,3434.49,3424.05,3432.78,343178304
5/10/13,3434.41,3445.39,3431.79,3443.77,336951040
5/13/13,3441.69,3447.73,3428.29,3428.96,430375904
5/14/13,3436.71,3445.06,3425.18,3432.76,371773600
5/15/13,3446.63,3451.04,3435.01,3441.53,506491904
5/16/13,3451.32,3455.55,3437,3452.28,408872992
5/17/13,3454.56,3457.07,3444.96,3449.3,164645792
5/20/13,3452.79,3458.04,3443.86,3454.23,229938592
5/21/13,3455.6,3456.99,3431.38,3443.9,291574208
5/22/13,3453.28,3464.79,3453.26,3454.37,339410208
5/23/13,3440.4,3447.12,3382.74,3393.17,644964800
5/27/13,3388.03,3403.41,3373.47,3391.3,210876400
5/28/13,3401.89,3410.02,3393.36,3406.08,226315104
