Date,Open,High,Low,Close,Adj Close,Volume
10/19/1998,1504.40,1504.400024,1504.400024,1504.400024,1504.400024,0
10/20/1998,1492.40,1492.400024,1492.400024,1492.400024,1492.400024,0
10/21/1998,1472.90,1472.900024,1472.900024,1472.900024,1472.900024,0
10/22/1998,1460.80,1460.800049,1460.800049,1460.800049,1460.800049,0
10/25/1998,null,null,null,null,null,null
10/26/1998,1470.00,1470,1470,1470,1470,0
10/27/1998,1483.40,1483.400024,1483.400024,1483.400024,1483.400024,0
10/28/1998,1480.40,1480.400024,1480.400024,1480.400024,1480.400024,0
10/29/1998,1478.10,1478.099976,1478.099976,1478.099976,1478.099976,0
11/1/1998,null,null,null,null,null,null
11/2/1998,1526.80,1526.800049,1526.800049,1526.800049,1526.800049,0
11/3/1998,1515.80,1515.800049,1515.800049,1515.800049,1515.800049,0
11/4/1998,1498.30,1498.300049,1498.300049,1498.300049,1498.300049,0
11/5/1998,1504.80,1504.800049,1504.800049,1504.800049,1504.800049,0
11/8/1998,null,null,null,null,null,null
11/9/1998,1492.20,1492.199951,1492.199951,1492.199951,1492.199951,0
11/10/1998,1479.50,1479.5,1479.5,1479.5,1479.5,0
11/11/1998,1479.80,1479.800049,1479.800049,1479.800049,1479.800049,0
11/12/1998,1475.30,1475.300049,1475.300049,1475.300049,1475.300049,0
11/15/1998,null,null,null,null,null,null
11/16/1998,1482.60,1482.599976,1482.599976,1482.599976,1482.599976,0
11/17/1998,1487.80,1487.800049,1487.800049,1487.800049,1487.800049,0
11/18/1998,1489.90,1489.900024,1489.900024,1489.900024,1489.900024,0
11/19/1998,1484.40,1484.400024,1484.400024,1484.400024,1484.400024,0
11/22/1998,null,null,null,null,null,null
11/23/1998,1479.80,1479.800049,1479.800049,1479.800049,1479.800049,0
11/24/1998,1479.00,1479,1479,1479,1479,0
11/25/1998,1477.50,1477.5,1477.5,1477.5,1477.5,0
11/26/1998,1471.00,1471,1471,1471,1471,0
11/29/1998,null,null,null,null,null,null
11/30/1998,1454.10,1454.099976,1454.099976,1454.099976,1454.099976,0
12/1/1998,1468.50,1468.5,1468.5,1468.5,1468.5,0
12/2/1998,1442.00,1442,1442,1442,1442,0
12/3/1998,1438.80,1438.800049,1438.800049,1438.800049,1438.800049,0
12/6/1998,null,null,null,null,null,null
12/7/1998,1373.10,1373.099976,1373.099976,1373.099976,1373.099976,0
12/8/1998,1326.60,1326.599976,1326.599976,1326.599976,1326.599976,0
12/9/1998,1345.70,1345.699951,1345.699951,1345.699951,1345.699951,0
12/10/1998,1355.90,1355.900024,1355.900024,1355.900024,1355.900024,0
12/13/1998,null,null,null,null,null,null
12/14/1998,1365.10,1365.099976,1365.099976,1365.099976,1365.099976,0
12/15/1998,1360.20,1360.199951,1360.199951,1360.199951,1360.199951,0
12/16/1998,1359.00,1359,1359,1359,1359,0
12/17/1998,1347.80,1347.800049,1347.800049,1347.800049,1347.800049,0
12/20/1998,null,null,null,null,null,null
12/21/1998,1371.10,1371.099976,1371.099976,1371.099976,1371.099976,0
12/22/1998,1396.90,1396.900024,1396.900024,1396.900024,1396.900024,0
12/23/1998,1413.60,1413.599976,1413.599976,1413.599976,1413.599976,0
12/24/1998,1426.60,1426.599976,1426.599976,1426.599976,1426.599976,0
12/27/1998,null,null,null,null,null,null
12/28/1998,1413.50,1413.5,1413.5,1413.5,1413.5,0
12/29/1998,1401.80,1401.800049,1401.800049,1401.800049,1401.800049,0
12/30/1998,1403.30,1403.300049,1403.300049,1403.300049,1403.300049,0
12/31/1998,1413.10,1413.099976,1413.099976,1413.099976,1413.099976,0
1/3/1999,null,null,null,null,null,null
1/4/1999,1431.00,1431,1431,1431,1431,0
1/5/1999,1437.30,1437.300049,1437.300049,1437.300049,1437.300049,0
1/6/1999,1449.50,1449.5,1449.5,1449.5,1449.5,0
1/7/1999,1451.30,1451.300049,1451.300049,1451.300049,1451.300049,0
1/10/1999,null,null,null,null,null,null
1/11/1999,1451.50,1451.5,1451.5,1451.5,1451.5,0
1/12/1999,1444.30,1444.300049,1444.300049,1444.300049,1444.300049,0
1/13/1999,1442.00,1442,1442,1442,1442,0
1/14/1999,1442.00,1442,1442,1442,1442,0
1/17/1999,null,null,null,null,null,null
1/18/1999,1442.00,1442,1442,1442,1442,0
1/19/1999,1442.00,1442,1442,1442,1442,0
1/20/1999,1442.00,1442,1442,1442,1442,0
1/21/1999,1442.00,1442,1442,1442,1442,0
1/24/1999,null,null,null,null,null,null
1/25/1999,1446.07,1446.069946,1446.069946,1446.069946,1446.069946,0
1/26/1999,1436.92,1436.920044,1436.920044,1436.920044,1436.920044,0
1/27/1999,1432.91,1432.910034,1432.910034,1432.910034,1432.910034,0
1/28/1999,1428.10,1428.099976,1428.099976,1428.099976,1428.099976,0
1/31/1999,null,null,null,null,null,null
2/1/1999,1399.37,1399.369995,1399.369995,1399.369995,1399.369995,0
2/2/1999,1387.11,1387.109985,1387.109985,1387.109985,1387.109985,0
2/3/1999,1410.85,1410.849976,1410.849976,1410.849976,1410.849976,0
2/4/1999,1412.74,1412.73999,1412.73999,1412.73999,1412.73999,0
2/7/1999,null,null,null,null,null,null
2/8/1999,1416.13,1416.130005,1416.130005,1416.130005,1416.130005,0
2/9/1999,1406.11,1406.109985,1406.109985,1406.109985,1406.109985,0
2/10/1999,1393.11,1393.109985,1393.109985,1393.109985,1393.109985,0
2/11/1999,1395.93,1395.930054,1395.930054,1395.930054,1395.930054,0
2/14/1999,null,null,null,null,null,null
2/15/1999,1368.74,1368.73999,1368.73999,1368.73999,1368.73999,0
2/16/1999,1372.15,1372.150024,1372.150024,1372.150024,1372.150024,0
2/17/1999,1374.50,1374.5,1374.5,1374.5,1374.5,0
2/18/1999,1372.83,1372.829956,1372.829956,1372.829956,1372.829956,0
2/21/1999,null,null,null,null,null,null
2/22/1999,1356.55,1356.550049,1356.550049,1356.550049,1356.550049,0
2/23/1999,1335.51,1335.51001,1335.51001,1335.51001,1335.51001,0
2/24/1999,1344.21,1344.209961,1344.209961,1344.209961,1344.209961,0
2/25/1999,1344.42,1344.420044,1344.420044,1344.420044,1344.420044,0
2/28/1999,null,null,null,null,null,null
3/1/1999,1315.12,1315.119995,1315.119995,1315.119995,1315.119995,0
3/2/1999,1313.58,1313.579956,1313.579956,1313.579956,1313.579956,0
3/3/1999,1315.89,1315.890015,1315.890015,1315.890015,1315.890015,0
3/4/1999,1316.03,1316.030029,1316.030029,1316.030029,1316.030029,0
3/7/1999,null,null,null,null,null,null
3/8/1999,1359.03,1359.030029,1359.030029,1359.030029,1359.030029,0
3/9/1999,1347.18,1347.180054,1347.180054,1347.180054,1347.180054,0
3/10/1999,1354.05,1354.050049,1354.050049,1354.050049,1354.050049,0
3/11/1999,1365.50,1365.5,1365.5,1365.5,1365.5,0
3/14/1999,null,null,null,null,null,null
3/15/1999,1393.83,1393.829956,1393.829956,1393.829956,1393.829956,0
3/16/1999,1380.85,1380.849976,1380.849976,1380.849976,1380.849976,0
3/17/1999,1391.14,1391.140015,1391.140015,1391.140015,1391.140015,0
3/18/1999,1397.52,1397.52002,1397.52002,1397.52002,1397.52002,0
3/21/1999,null,null,null,null,null,null
3/22/1999,1439.12,1439.119995,1439.119995,1439.119995,1439.119995,0
3/23/1999,1441.64,1441.640015,1441.640015,1441.640015,1441.640015,0
3/24/1999,1455.59,1455.589966,1455.589966,1455.589966,1455.589966,0
3/25/1999,1455.59,1455.589966,1455.589966,1455.589966,1455.589966,0
3/28/1999,null,null,null,null,null,null
3/29/1999,1455.59,1455.589966,1455.589966,1455.589966,1455.589966,0
3/30/1999,1455.59,1455.589966,1455.589966,1455.589966,1455.589966,0
3/31/1999,1455.59,1455.589966,1455.589966,1455.589966,1455.589966,0
4/1/1999,1455.59,1455.589966,1455.589966,1455.589966,1455.589966,0
4/4/1999,null,null,null,null,null,null
4/5/1999,1512.31,1512.310059,1512.310059,1512.310059,1512.310059,0
4/6/1999,1532.21,1532.209961,1532.209961,1532.209961,1532.209961,0
4/7/1999,1531.35,1531.349976,1531.349976,1531.349976,1531.349976,0
4/8/1999,1535.31,1535.310059,1535.310059,1535.310059,1535.310059,0
4/11/1999,null,null,null,null,null,null
4/12/1999,1514.70,1514.699951,1514.699951,1514.699951,1514.699951,0
4/13/1999,1491.05,1491.050049,1491.050049,1491.050049,1491.050049,0
4/14/1999,1483.74,1483.73999,1483.73999,1483.73999,1483.73999,0
4/15/1999,1464.83,1464.829956,1464.829956,1464.829956,1464.829956,0
4/18/1999,null,null,null,null,null,null
4/19/1999,1495.94,1495.939941,1495.939941,1495.939941,1495.939941,0
4/20/1999,1494.97,1494.969971,1494.969971,1494.969971,1494.969971,0
4/21/1999,1476.35,1476.349976,1476.349976,1476.349976,1476.349976,0
4/22/1999,1471.76,1471.76001,1471.76001,1471.76001,1471.76001,0
4/25/1999,null,null,null,null,null,null
4/26/1999,1479.02,1479.02002,1479.02002,1479.02002,1479.02002,0
4/27/1999,1475.28,1475.280029,1475.280029,1475.280029,1475.280029,0
4/28/1999,1472.66,1472.660034,1472.660034,1472.660034,1472.660034,0
4/29/1999,1486.03,1486.030029,1486.030029,1486.030029,1486.030029,0
5/2/1999,null,null,null,null,null,null
5/3/1999,1479.50,1479.5,1479.5,1479.5,1479.5,0
5/4/1999,1483.47,1483.469971,1483.469971,1483.469971,1483.469971,0
5/5/1999,1480.17,1480.170044,1480.170044,1480.170044,1480.170044,0
5/6/1999,1477.09,1477.089966,1477.089966,1477.089966,1477.089966,0
5/9/1999,null,null,null,null,null,null
5/10/1999,1476.63,1476.630005,1476.630005,1476.630005,1476.630005,0
5/11/1999,1476.06,1476.060059,1476.060059,1476.060059,1476.060059,0
5/12/1999,1476.54,1476.540039,1476.540039,1476.540039,1476.540039,0
5/13/1999,1465.07,1465.069946,1465.069946,1465.069946,1465.069946,0
5/16/1999,null,null,null,null,null,null
5/17/1999,1469.01,1469.01001,1469.01001,1469.01001,1469.01001,0
5/18/1999,1456.96,1456.959961,1456.959961,1456.959961,1456.959961,0
5/19/1999,1448.95,1448.949951,1448.949951,1448.949951,1448.949951,0
5/20/1999,1445.20,1445.199951,1445.199951,1445.199951,1445.199951,0
5/23/1999,null,null,null,null,null,null
5/24/1999,1462.61,1462.609985,1462.609985,1462.609985,1462.609985,0
5/25/1999,1459.18,1459.180054,1459.180054,1459.180054,1459.180054,0
5/26/1999,1454.10,1454.099976,1454.099976,1454.099976,1454.099976,0
5/27/1999,1448.57,1448.569946,1448.569946,1448.569946,1448.569946,0
5/30/1999,null,null,null,null,null,null
5/31/1999,1430.07,1430.069946,1430.069946,1430.069946,1430.069946,0
6/1/1999,1420.08,1420.079956,1420.079956,1420.079956,1420.079956,0
6/2/1999,1410.10,1410.099976,1410.099976,1410.099976,1410.099976,0
6/3/1999,1415.92,1415.920044,1415.920044,1415.920044,1415.920044,0
6/6/1999,null,null,null,null,null,null
6/7/1999,1427.27,1427.27002,1427.27002,1427.27002,1427.27002,0
6/8/1999,1433.22,1433.219971,1433.219971,1433.219971,1433.219971,0
6/9/1999,1434.66,1434.660034,1434.660034,1434.660034,1434.660034,0
6/10/1999,1435.46,1435.459961,1435.459961,1435.459961,1435.459961,0
6/13/1999,null,null,null,null,null,null
6/14/1999,1438.28,1438.280029,1438.280029,1438.280029,1438.280029,0
6/15/1999,1449.56,1449.560059,1449.560059,1449.560059,1449.560059,0
6/16/1999,1448.45,1448.449951,1448.449951,1448.449951,1448.449951,0
6/17/1999,1458.15,1458.150024,1458.150024,1458.150024,1458.150024,0
6/20/1999,null,null,null,null,null,null
6/21/1999,1456.20,1456.199951,1456.199951,1456.199951,1456.199951,0
6/22/1999,1456.11,1456.109985,1456.109985,1456.109985,1456.109985,0
6/23/1999,1454.37,1454.369995,1454.369995,1454.369995,1454.369995,0
6/24/1999,1454.22,1454.219971,1454.219971,1454.219971,1454.219971,0
6/27/1999,null,null,null,null,null,null
6/28/1999,1459.22,1459.219971,1459.219971,1459.219971,1459.219971,0
6/29/1999,1463.30,1463.300049,1463.300049,1463.300049,1463.300049,0
6/30/1999,1470.46,1470.459961,1470.459961,1470.459961,1470.459961,0
7/1/1999,1474.73,1474.72998,1474.72998,1474.72998,1474.72998,0
7/4/1999,null,null,null,null,null,null
7/5/1999,1491.98,1491.97998,1491.97998,1491.97998,1491.97998,0
7/6/1999,1496.78,1496.780029,1496.780029,1496.780029,1496.780029,0
7/7/1999,1501.66,1501.660034,1501.660034,1501.660034,1501.660034,0
7/8/1999,1499.05,1499.050049,1499.050049,1499.050049,1499.050049,0
7/11/1999,null,null,null,null,null,null
7/12/1999,1508.41,1508.410034,1508.410034,1508.410034,1508.410034,0
7/13/1999,1498.32,1498.319946,1498.319946,1498.319946,1498.319946,0
7/14/1999,1503.42,1503.420044,1503.420044,1503.420044,1503.420044,0
7/15/1999,1506.46,1506.459961,1506.459961,1506.459961,1506.459961,0
7/18/1999,null,null,null,null,null,null
7/19/1999,1512.85,1512.849976,1512.849976,1512.849976,1512.849976,0
7/20/1999,1512.44,1512.439941,1512.439941,1512.439941,1512.439941,0
7/21/1999,1509.50,1509.5,1509.5,1509.5,1509.5,0
7/22/1999,1501.29,1501.290039,1501.290039,1501.290039,1501.290039,0
7/25/1999,null,null,null,null,null,null
7/26/1999,1510.41,1510.410034,1510.410034,1510.410034,1510.410034,0
7/27/1999,1511.26,1511.26001,1511.26001,1511.26001,1511.26001,0
7/28/1999,1515.19,1515.189941,1515.189941,1515.189941,1515.189941,0
7/29/1999,1530.46,1530.459961,1530.459961,1530.459961,1530.459961,0
8/1/1999,null,null,null,null,null,null
8/2/1999,1584.15,1584.150024,1584.150024,1584.150024,1584.150024,0
8/3/1999,1622.81,1622.810059,1622.810059,1622.810059,1622.810059,0
8/4/1999,1581.81,1581.810059,1581.810059,1581.810059,1581.810059,0
8/5/1999,1586.93,1586.930054,1586.930054,1586.930054,1586.930054,0
8/8/1999,null,null,null,null,null,null
8/9/1999,1601.91,1601.910034,1601.910034,1601.910034,1601.910034,0
8/10/1999,1612.01,1612.01001,1612.01001,1612.01001,1612.01001,0
8/11/1999,1623.86,1623.859985,1623.859985,1623.859985,1623.859985,0
8/12/1999,1660.22,1660.219971,1660.219971,1660.219971,1660.219971,0
8/15/1999,null,null,null,null,null,null
8/16/1999,1663.29,1663.290039,1663.290039,1663.290039,1663.290039,0
8/17/1999,1681.32,1681.319946,1681.319946,1681.319946,1681.319946,0
8/18/1999,1665.70,1665.699951,1665.699951,1665.699951,1665.699951,0
8/19/1999,1654.98,1654.97998,1654.97998,1654.97998,1654.97998,0
8/22/1999,null,null,null,null,null,null
8/23/1999,1655.43,1655.430054,1655.430054,1655.430054,1655.430054,0
8/24/1999,1649.66,1649.660034,1649.660034,1649.660034,1649.660034,0
8/25/1999,1640.77,1640.77002,1640.77002,1640.77002,1640.77002,0
8/26/1999,1618.37,1618.369995,1618.369995,1618.369995,1618.369995,0
8/29/1999,null,null,null,null,null,null
8/30/1999,1643.54,1643.540039,1643.540039,1643.540039,1643.540039,0
8/31/1999,1655.56,1655.560059,1655.560059,1655.560059,1655.560059,0
9/1/1999,1658.56,1658.560059,1658.560059,1658.560059,1658.560059,0
9/2/1999,1652.67,1652.670044,1652.670044,1652.670044,1652.670044,0
9/5/1999,null,null,null,null,null,null
9/6/1999,1635.90,1635.900024,1635.900024,1635.900024,1635.900024,0
9/7/1999,1634.54,1634.540039,1634.540039,1634.540039,1634.540039,0
9/8/1999,1639.75,1639.75,1639.75,1639.75,1639.75,0
9/9/1999,1649.87,1649.869995,1649.869995,1649.869995,1649.869995,0
9/12/1999,null,null,null,null,null,null
9/13/1999,1663.34,1663.339966,1663.339966,1663.339966,1663.339966,0
9/14/1999,1660.56,1660.560059,1660.560059,1660.560059,1660.560059,0
9/15/1999,1670.31,1670.310059,1670.310059,1670.310059,1670.310059,0
9/16/1999,1670.31,1670.310059,1670.310059,1670.310059,1670.310059,0
9/19/1999,null,null,null,null,null,null
9/20/1999,1679.85,1679.849976,1679.849976,1679.849976,1679.849976,0
9/21/1999,1679.85,1679.849976,1679.849976,1679.849976,1679.849976,0
9/22/1999,1679.85,1679.849976,1679.849976,1679.849976,1679.849976,0
