"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2022","1,813.35","1,795.34","1,815.04","1,784.24","95.67M","0.57%"
"12/28/2022","1,803.15","1,800.17","1,808.82","1,783.42","61.34M","0.19%"
"12/27/2022","1,799.75","1,802.33","1,812.50","1,791.33","52.49M","0.84%"
"12/26/2022","1,784.80","1,785.28","1,795.88","1,770.47","47.10M","0.09%"
"12/25/2022","1,783.24","1,804.01","1,811.83","1,777.24","36.90M","-1.51%"
"12/22/2022","1,810.52","1,827.88","1,835.34","1,802.02","54.23M","-0.99%"
"12/21/2022","1,828.66","1,817.78","1,828.66","1,816.73","53.86M","0.84%"
"12/20/2022","1,813.45","1,814.04","1,831.06","1,807.64","57.49M","-0.69%"
"12/19/2022","1,826.09","1,822.77","1,834.18","1,822.26","63.43M","0.23%"
"12/18/2022","1,821.86","1,819.84","1,825.13","1,811.92","26.73M","-1.08%"
"12/15/2022","1,841.68","1,842.66","1,853.99","1,832.31","71.80M","-0.84%"
"12/14/2022","1,857.19","1,867.08","1,867.20","1,851.09","47.53M","-0.79%"
"12/13/2022","1,871.99","1,857.71","1,890.65","1,853.19","63.24M","1.21%"
"12/12/2022","1,849.56","1,857.45","1,858.42","1,842.39","67.98M","-0.38%"
"12/11/2022","1,856.66","1,858.93","1,860.82","1,845.83","23.42M","-0.46%"
"12/08/2022","1,865.31","1,853.29","1,866.51","1,841.12","63.95M","0.72%"
"12/07/2022","1,852.01","1,876.69","1,877.62","1,849.92","75.44M","-1.56%"
"12/06/2022","1,881.37","1,898.14","1,900.35","1,879.38","56.51M","-1.14%"
"12/05/2022","1,903.11","1,905.60","1,917.34","1,901.92","70.34M","-0.25%"
"12/04/2022","1,907.82","1,912.74","1,914.65","1,902.59","27.36M","-0.22%"
"12/01/2022","1,912.00","1,909.61","1,917.78","1,904.43","115.23M","1.49%"
"11/30/2022","1,884.01","1,893.13","1,907.36","1,883.78","94.05M","-0.60%"
"11/29/2022","1,895.37","1,869.57","1,897.25","1,856.08","62.36M","1.46%"
"11/28/2022","1,868.14","1,880.63","1,880.63","1,859.43","56.94M","-1.05%"
"11/27/2022","1,887.91","1,904.37","1,905.80","1,884.82","21.77M","-0.84%"
"11/24/2022","1,903.94","1,903.05","1,916.94","1,899.19","66.73M","0.24%"
"11/23/2022","1,899.41","1,916.65","1,926.03","1,899.31","55.21M","-0.71%"
"11/22/2022","1,912.92","1,910.97","1,918.66","1,898.13","57.09M","0.34%"
"11/21/2022","1,906.41","1,925.00","1,930.04","1,904.82","51.68M","-1.55%"
"11/20/2022","1,936.37","1,920.22","1,939.79","1,909.76","28.60M","1.14%"
"11/17/2022","1,914.55","1,952.28","1,957.26","1,908.67","67.14M","-1.96%"
