"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","58,864.46","58,868.74","58,868.74","58,856.93","25.61M","-0.29%"
"12/29/2022","59,033.00","58,289.70","59,033.00","58,289.70","24.79M","1.82%"
"12/28/2022","57,978.03","57,951.77","58,075.23","57,951.77","31.65M","0.11%"
"12/27/2022","57,915.49","58,406.37","58,406.37","57,915.49","26.40M","-0.86%"
"12/23/2022","58,417.35","58,382.15","58,417.35","58,232.50","20.28M","-0.06%"
"12/22/2022","58,450.57","58,495.52","58,529.34","58,450.57","23.42M","-0.38%"
"12/21/2022","58,673.21","57,970.03","58,673.21","57,970.03","26.71M","1.16%"
"12/20/2022","58,002.22","57,430.71","58,002.22","57,430.71","26.36M","0.97%"
"12/19/2022","57,444.56","57,693.74","57,693.74","57,444.56","27.55M","0.12%"
"12/16/2022","57,374.35","57,204.21","57,404.22","57,204.21","63.33M","-0.77%"
"12/15/2022","57,819.09","58,000.42","58,000.42","57,707.13","37.51M","-1.72%"
"12/14/2022","58,831.40","58,772.85","58,915.15","58,772.85","36.49M","0.14%"
"12/13/2022","58,748.20","57,556.31","59,056.40","57,556.31","36.76M","1.54%"
"12/12/2022","57,855.42","57,347.70","57,855.42","57,347.70","28.85M","1.27%"
"12/09/2022","57,131.88","57,157.09","57,157.09","56,885.51","32.44M","0.21%"
"12/08/2022","57,010.79","57,181.32","57,181.32","56,781.09","36.78M","-0.48%"
"12/07/2022","57,284.51","57,143.77","57,284.51","57,143.77","28.62M","0.14%"
"12/06/2022","57,207.09","57,328.40","57,395.19","57,207.09","30.98M","-1.06%"
"12/05/2022","57,819.13","58,363.29","58,363.29","57,819.13","30.57M","0.47%"
"12/02/2022","57,546.69","57,843.96","57,843.96","57,480.69","42.11M","-1.13%"
"12/01/2022","58,204.03","57,852.76","58,204.03","57,852.76","57.59M","1.60%"
"11/30/2022","57,287.26","57,541.51","57,550.79","57,287.26","130.89M","0.10%"
"11/29/2022","57,231.81","56,970.94","57,231.81","56,891.64","44.86M","0.33%"
"11/28/2022","57,043.66","57,213.73","57,213.73","56,997.67","32.95M","-0.90%"
"11/25/2022","57,561.94","57,424.61","57,561.94","57,335.69","28.90M","0.28%"
"11/24/2022","57,401.95","56,897.10","57,401.95","56,897.10","38.65M","1.87%"
"11/23/2022","56,348.18","56,722.97","56,722.97","56,237.06","41.84M","-0.07%"
"11/22/2022","56,390.20","56,203.30","56,512.07","56,203.30","35.90M","1.73%"
"11/21/2022","55,433.80","55,784.42","55,804.59","55,433.80","35.87M","-1.22%"
"11/18/2022","56,120.96","56,472.34","56,472.34","56,120.96","37.35M","0.18%"
"11/17/2022","56,022.29","56,006.13","56,133.73","56,006.13","40.29M","-1.48%"
"11/16/2022","56,865.48","56,710.64","56,954.02","56,710.64","48.88M","-1.35%"
"11/15/2022","57,644.77","56,755.75","57,644.77","56,755.75","51.55M","1.04%"
"11/14/2022","57,049.09","56,586.49","57,049.09","56,586.49","66.46M","2.39%"
"11/10/2022","55,719.11","53,872.52","55,719.11","53,872.52","52.38M","2.14%"
"11/09/2022","54,550.25","54,467.82","54,679.23","54,467.82","43.59M","-0.06%"
"11/08/2022","54,581.61","54,085.03","54,581.61","54,048.99","42.80M","1.30%"
"11/07/2022","53,879.64","54,264.26","54,264.26","53,879.64","62.56M","0.73%"
"11/04/2022","53,489.14","52,975.53","53,489.14","52,975.53","46.66M","2.80%"
"11/03/2022","52,034.55","51,882.77","52,034.55","51,630.15","38.67M","-0.81%"
"11/02/2022","52,461.04","52,310.89","52,461.04","52,212.73","52.63M","1.73%"
"10/31/2022","51,569.21","51,295.25","51,569.21","51,295.25","43.46M","1.82%"
"10/28/2022","50,647.83","49,937.11","50,647.83","49,937.11","61.75M","0.17%"
"10/27/2022","50,562.43","50,012.53","50,562.43","50,012.53","45.26M","1.09%"
"10/26/2022","50,017.62","49,454.46","50,017.62","49,351.21","41.60M","2.59%"
"10/25/2022","48,753.97","48,798.36","48,798.36","48,369.38","44.72M","0.76%"
"10/24/2022","48,386.84","48,201.87","48,596.73","48,201.87","40.55M","1.25%"
"10/21/2022","47,790.48","47,892.51","47,892.51","47,632.00","34.62M","-1.07%"
"10/20/2022","48,306.09","47,629.54","48,306.09","47,629.54","49.83M","1.70%"
"10/19/2022","47,499.53","48,048.13","48,048.13","47,499.53","35.52M","-1.78%"
"10/18/2022","48,362.22","48,462.89","48,510.31","48,362.22","46.32M","0.72%"
"10/17/2022","48,017.18","47,421.34","48,017.18","47,421.34","27.82M","0.94%"
"10/14/2022","47,568.15","47,410.24","47,906.60","47,410.24","40.66M","2.09%"
"10/13/2022","46,594.67","47,027.08","47,027.08","46,069.16","45.66M","-0.97%"
"10/12/2022","47,050.16","47,176.50","47,176.50","47,050.16","39.98M","-0.38%"
"10/11/2022","47,229.25","46,735.24","47,623.52","46,735.24","36.04M","0.27%"
"10/10/2022","47,102.84","47,484.32","47,525.54","47,102.84","41.26M","-1.74%"
"10/07/2022","47,934.86","48,135.12","48,135.12","47,934.86","27.72M","-0.81%"
"10/06/2022","48,324.03","48,712.32","48,712.32","48,324.03","29.61M","0.28%"
"10/05/2022","48,190.40","48,759.67","48,759.67","48,190.40","40.89M","-1.97%"
"10/04/2022","49,159.56","48,396.66","49,159.56","48,396.66","39.41M","3.79%"
"10/03/2022","47,365.22","46,091.79","47,365.22","46,091.79","33.60M","0.79%"
"09/30/2022","46,992.65","46,943.84","46,992.65","46,769.99","42.32M","0.28%"
"09/29/2022","46,863.17","47,999.71","47,999.71","46,863.17","40.65M","-3.40%"
"09/28/2022","48,514.11","47,819.66","48,514.11","47,819.66","40.64M","-0.74%"
"09/27/2022","48,877.82","48,741.61","48,877.82","48,741.61","36.34M","1.46%"
"09/26/2022","48,174.21","48,234.95","48,234.95","47,751.56","53.02M","-1.90%"
"09/23/2022","49,108.63","49,640.54","49,640.54","49,108.63","32.40M","-3.44%"
"09/22/2022","50,855.61","50,701.55","50,947.65","50,701.55","29.50M","0.62%"
"09/21/2022","50,544.51","50,013.48","50,544.51","50,013.48","33.24M","0.46%"
"09/20/2022","50,314.43","51,077.52","51,077.52","50,314.43","30.41M","-1.68%"
"09/19/2022","51,175.83","50,824.58","51,175.83","50,824.58","30.66M","1.53%"
"09/16/2022","50,403.97","51,041.24","51,041.24","50,403.97","88.47M","-2.43%"
